Customer_ID,Age,Gender,Marital_Status,Region,Education_Level,Employment_Status,Policy_Type,Policy_Tenure,Policy_Renewal_Count,Total_Claims_Filed,Claim_Amount_Total,Missed_Payments,Family_Members_Insured,Policy_Cancellation_History,Mode_of_Communication,Payment_Mode,Customer_Complaints,Complaint_Resolution_Time,Customer_Support_Calls,Policy_Start_Date,Policy_End_Date,Last_Claim_Date,Last_Payment_Date,Vehicle_Age,Vehicle_Type,Premium_Amount,Churn,Churn_Numeric,Age_binned
C18,39,Female,Married,Metro,Bachelor's,Unemployed,Third Party,7,4,3,60100,1,3,2,Email,Online,2,3,6,16-09-2023,31-12-2023,19-12-2023,20-11-2023,3,SUV,19601,0.0,0.0,"(38.0, 48.0]"
C19,19,Male,Married,Urban,High School,Employed,Comprehensive,2,4,0,8314,1,1,2,Phone,Online,6,15,4,27-02-2018,27-02-2020,2000-01-01 00:00:00,17-05-2019,3,Hatchback,11107,0.0,0.0,"(17.999, 28.0]"
C20,41,Female,Single,Rural,Bachelor's,Employed,Comprehensive,2,3,0,285966,0,2,2,In-Person,Credit Card,5,28,2,03-05-2016,03-05-2018,2000-01-01 00:00:00,22-03-2018,0,Sedan,14524,0.0,0.0,"(38.0, 48.0]"
C21,61,Male,Single,Rural,Bachelor's,Unemployed,Own Damage,2,1,0,315073,1,1,2,Phone,Cheque,4,16,9,03-12-2022,31-12-2023,2000-01-01 00:00:00,15-10-2023,0,Sedan,10386,0.0,0.0,"(59.0, 69.0]"
C22,47,Female,Single,Metro,Bachelor's,Employed,Comprehensive,8,0,1,430987,0,2,2,Email,Cheque,5,16,1,29-12-2019,31-12-2023,24-06-2022,08-10-2021,10,Hatchback,11798,0.0,0.0,"(38.0, 48.0]"
C23,55,Male,Single,Urban,Bachelor's,Self-Employed,Comprehensive,1,2,3,404032,0,4,2,Email,Online,7,9,7,05-01-2019,05-01-2020,23-09-2019,27-06-2019,4,Hatchback,15954,0.0,0.0,"(48.0, 59.0]"
C24,19,Female,Married,Urban,High School,Employed,Third Party,3,5,1,298183,2,2,0,Phone,Cash,4,22,5,22-10-2020,22-10-2023,20-05-2021,10-02-2022,5,Hatchback,11640,0.0,0.0,"(17.999, 28.0]"
C25,38,Female,Single,Urban,Master's,Employed,Comprehensive,7,3,4,278292,0,1,1,Email,Credit Card,5,17,3,10-08-2019,31-12-2023,28-07-2020,26-04-2022,9,Hatchback,15988,0.0,0.0,"(28.0, 38.0]"
C26,50,Male,Single,Urban,Bachelor's,Employed,Own Damage,1,2,1,363368,1,2,2,In-Person,Credit Card,6,20,3,28-03-2015,27-03-2016,07-11-2015,10-02-2016,12,SUV,19145,0.0,0.0,"(48.0, 59.0]"
C27,29,Male,Married,Metro,Bachelor's,Employed,Third Party,2,2,0,121500,0,4,0,In-Person,Cash,2,27,6,03-04-2019,02-04-2021,2000-01-01 00:00:00,22-09-2019,1,Hatchback,12875,0.0,0.0,"(28.0, 38.0]"
C28,39,Male,Single,Urban,Bachelor's,Employed,Comprehensive,5,0,2,268399,2,1,2,In-Person,Cash,5,14,7,02-03-2021,31-12-2023,10-01-2022,02-08-2022,12,Hatchback,17627,0.0,0.0,"(38.0, 48.0]"
C29,61,Female,Married,Urban,Bachelor's,Employed,Third Party,4,2,0,24400,2,1,2,In-Person,Online,9,26,2,29-10-2020,31-12-2023,2000-01-01 00:00:00,09-07-2021,3,SUV,12588,0.0,0.0,"(59.0, 69.0]"
C30,42,Male,Married,Metro,Master's,Employed,Comprehensive,3,4,3,472509,1,4,2,Email,Cheque,2,28,2,15-03-2015,14-03-2018,22-11-2016,12-08-2017,13,SUV,15806,0.0,0.0,"(38.0, 48.0]"
C31,66,Male,Married,Metro,Master's,Unemployed,Comprehensive,8,1,3,128570,1,4,2,Phone,Cheque,5,11,6,16-12-2023,31-12-2023,15-01-2024,31-12-2023,12,Sedan,7428,1.0,1.0,"(59.0, 69.0]"
C32,44,Male,Married,Metro,Master's,Employed,Comprehensive,9,5,0,362746,1,3,1,In-Person,Cash,4,14,7,06-04-2018,31-12-2023,2000-01-01 00:00:00,06-08-2020,12,Hatchback,10524,0.0,0.0,"(38.0, 48.0]"
C33,59,Male,Married,Urban,Master's,Employed,Comprehensive,2,4,0,437822,3,3,0,In-Person,Cash,1,15,0,12-04-2016,12-04-2018,2000-01-01 00:00:00,31-05-2017,8,Sedan,7595,0.0,0.0,"(48.0, 59.0]"
C34,45,Male,Single,Metro,Bachelor's,Employed,Own Damage,6,3,3,81838,3,2,0,Email,Cash,2,4,6,05-09-2020,31-12-2023,01-11-2021,13-07-2023,10,Hatchback,12380,0.0,0.0,"(38.0, 48.0]"
C35,33,Female,Married,Urban,Bachelor's,Self-Employed,Comprehensive,9,3,1,119968,1,4,2,Phone,Online,4,18,6,28-07-2015,31-12-2023,03-03-2022,13-01-2018,8,Luxury,40326,0.0,0.0,"(28.0, 38.0]"
C36,32,Male,Married,Urban,Master's,Self-Employed,Third Party,7,0,1,342723,3,4,0,In-Person,Cheque,5,12,3,26-02-2022,31-12-2023,15-06-2022,28-08-2022,14,Hatchback,16946,0.0,0.0,"(28.0, 38.0]"
C37,64,Female,Single,Rural,Master's,Employed,Comprehensive,6,2,3,264873,1,3,2,Email,Credit Card,6,1,3,22-03-2015,20-03-2021,14-07-2019,13-04-2018,4,Sedan,5273,0.0,0.0,"(59.0, 69.0]"
C38,68,Male,Married,Urban,Bachelor's,Unemployed,Third Party,9,3,0,151093,1,1,2,In-Person,Cash,8,6,8,16-01-2019,31-12-2023,2000-01-01 00:00:00,12-01-2021,10,SUV,15383,0.0,0.0,"(59.0, 69.0]"
C39,61,Male,Married,Rural,Master's,Employed,Comprehensive,7,4,0,217170,0,2,1,Email,Credit Card,8,27,8,02-10-2023,31-12-2023,2000-01-01 00:00:00,11-11-2023,5,Hatchback,12542,0.0,0.0,"(59.0, 69.0]"
C40,69,Male,Single,Metro,Bachelor's,Employed,Third Party,2,0,3,412702,1,4,2,In-Person,Online,0,2,5,27-07-2016,27-07-2018,26-03-2018,07-02-2018,9,SUV,15064,0.0,0.0,"(59.0, 69.0]"
C41,20,Male,Married,Urban,High School,Employed,Third Party,7,1,3,207492,3,3,0,Phone,Cash,6,24,9,21-12-2022,31-12-2023,03-11-2023,15-03-2023,14,Hatchback,15894,0.0,0.0,"(17.999, 28.0]"
C42,54,Female,Married,Metro,Bachelor's,Unemployed,Comprehensive,6,1,1,36260,3,4,1,Phone,Credit Card,0,26,9,08-05-2020,31-12-2023,26-09-2020,14-06-2023,0,Hatchback,15156,0.0,0.0,"(48.0, 59.0]"
C43,68,Female,Married,Urban,Bachelor's,Employed,Comprehensive,3,1,3,124523,3,4,1,In-Person,Online,7,19,8,25-07-2021,31-12-2023,28-02-2023,19-11-2023,14,Hatchback,14211,0.0,0.0,"(59.0, 69.0]"
C44,24,Male,Married,Urban,Bachelor's,Self-Employed,Comprehensive,1,1,0,440096,0,2,2,Phone,Cash,1,16,0,26-10-2016,26-10-2017,2000-01-01 00:00:00,18-01-2017,3,Hatchback,15087,0.0,0.0,"(17.999, 28.0]"
C45,38,Male,Married,Urban,Bachelor's,Self-Employed,Third Party,1,0,0,247419,0,3,2,Phone,Online,5,4,2,10-03-2015,09-03-2016,2000-01-01 00:00:00,31-05-2015,12,Hatchback,14347,0.0,0.0,"(28.0, 38.0]"
C46,26,Male,Single,Urban,Bachelor's,Employed,Third Party,9,5,3,416247,2,2,2,Phone,Credit Card,1,1,1,04-01-2020,31-12-2023,11-10-2023,26-12-2021,5,SUV,20231,0.0,0.0,"(17.999, 28.0]"
C47,56,Female,Single,Metro,Bachelor's,Employed,Third Party,9,2,4,20244,2,3,2,Email,Cheque,4,6,8,24-05-2020,31-12-2023,05-03-2022,30-11-2020,1,Sedan,8885,1.0,1.0,"(48.0, 59.0]"
C48,35,Female,Single,Urban,Bachelor's,Employed,Third Party,5,0,0,400205,0,3,0,Email,Cash,1,13,1,19-06-2017,18-06-2022,2000-01-01 00:00:00,26-12-2020,12,Hatchback,9704,0.0,0.0,"(28.0, 38.0]"
C49,21,Female,Married,Rural,High School,Self-Employed,Third Party,2,4,1,5902,0,2,0,In-Person,Credit Card,2,17,4,12-11-2023,31-12-2023,29-12-2023,16-12-2023,13,Hatchback,10157,0.0,0.0,"(17.999, 28.0]"
C50,42,Male,Married,Metro,Bachelor's,Employed,Comprehensive,3,5,4,218779,1,4,0,In-Person,Credit Card,4,6,1,10-11-2015,09-11-2018,26-01-2017,15-05-2017,3,Hatchback,10366,0.0,0.0,"(38.0, 48.0]"
C51,31,Male,Married,Rural,Master's,Employed,Third Party,6,4,4,15117,1,3,2,Email,Cheque,2,24,2,15-01-2020,31-12-2023,26-07-2021,03-08-2020,4,Hatchback,18642,0.0,0.0,"(28.0, 38.0]"
C52,67,Male,Married,Metro,Master's,Employed,Third Party,8,2,2,70670,1,4,0,Phone,Credit Card,1,12,9,27-08-2017,31-12-2023,31-12-2022,22-02-2022,1,Sedan,13389,0.0,0.0,"(59.0, 69.0]"
C53,26,Male,Married,Urban,Diploma,Employed,Comprehensive,9,1,4,102346,1,1,1,In-Person,Cheque,4,28,6,19-10-2018,31-12-2023,09-12-2020,09-01-2021,13,Sedan,8657,0.0,0.0,"(17.999, 28.0]"
C54,43,Male,Married,Rural,Master's,Self-Employed,Comprehensive,6,3,3,475112,2,3,1,Phone,Credit Card,0,23,7,16-02-2020,31-12-2023,02-01-2023,05-03-2022,14,Sedan,17681,1.0,1.0,"(38.0, 48.0]"
C55,19,Male,Single,Metro,High School,Employed,Own Damage,5,4,2,100312,1,2,1,Email,Online,4,25,2,05-12-2018,04-12-2023,25-03-2022,07-05-2019,5,Hatchback,7434,0.0,0.0,"(17.999, 28.0]"
C56,37,Male,Married,Urban,Bachelor's,Employed,Third Party,1,0,1,220650,1,2,1,Phone,Cheque,7,19,0,04-03-2020,04-03-2021,10-12-2020,29-06-2020,10,Hatchback,8946,0.0,0.0,"(28.0, 38.0]"
C57,45,Female,Married,Urban,Bachelor's,Employed,Own Damage,7,2,4,206318,3,4,0,In-Person,Cheque,7,6,8,06-06-2021,31-12-2023,09-12-2022,01-11-2023,9,Hatchback,17050,0.0,0.0,"(38.0, 48.0]"
C58,64,Female,Married,Urban,Bachelor's,Employed,Third Party,5,4,2,146500,2,1,2,Phone,Online,0,11,4,11-05-2021,31-12-2023,13-11-2022,22-05-2023,8,Hatchback,12800,0.0,0.0,"(59.0, 69.0]"
C59,24,Male,Single,Urban,Bachelor's,Employed,Comprehensive,1,5,0,382385,3,3,1,Phone,Cash,9,17,3,17-10-2019,16-10-2020,2000-01-01 00:00:00,09-12-2019,7,SUV,10751,0.0,0.0,"(17.999, 28.0]"
C60,61,Male,Married,Urban,Master's,Employed,Comprehensive,5,3,4,304652,0,3,2,Email,Credit Card,4,29,3,03-04-2023,31-12-2023,11-11-2023,14-11-2023,10,Luxury,21821,0.0,0.0,"(59.0, 69.0]"
C61,25,Male,Married,Rural,Bachelor's,Employed,Third Party,4,2,2,126650,1,4,0,Email,Cash,3,4,0,09-02-2018,08-02-2022,05-12-2019,21-12-2021,4,SUV,13696,0.0,0.0,"(17.999, 28.0]"
C62,64,Female,Single,Metro,Master's,Employed,Third Party,4,5,0,218538,2,4,1,In-Person,Online,5,6,5,26-07-2023,31-12-2023,2000-01-01 00:00:00,26-08-2023,0,Hatchback,16642,1.0,1.0,"(59.0, 69.0]"
C63,52,Female,Single,Urban,Bachelor's,Employed,Comprehensive,8,0,2,249536,3,2,0,Email,Credit Card,5,4,9,23-03-2020,31-12-2023,25-09-2022,01-11-2021,14,Hatchback,7916,0.0,0.0,"(48.0, 59.0]"
C64,31,Female,Single,Urban,Master's,Employed,Comprehensive,2,2,0,339075,3,4,0,Email,Online,5,28,6,07-05-2021,07-05-2023,2000-01-01 00:00:00,10-05-2022,0,Hatchback,17473,0.0,0.0,"(28.0, 38.0]"
C65,34,Female,Married,Rural,Bachelor's,Self-Employed,Comprehensive,9,3,3,235900,2,4,0,In-Person,Credit Card,4,21,6,28-02-2016,31-12-2023,17-07-2017,30-09-2021,7,Hatchback,5104,1.0,1.0,"(28.0, 38.0]"
C66,53,Male,Single,Metro,Master's,Employed,Comprehensive,3,3,0,211840,3,3,2,Email,Cash,7,29,8,26-01-2018,25-01-2021,2000-01-01 00:00:00,18-08-2018,13,Luxury,43787,0.0,0.0,"(48.0, 59.0]"
C67,67,Male,Married,Rural,Bachelor's,Employed,Third Party,6,5,4,23873,1,2,1,Email,Cheque,9,7,4,16-10-2018,31-12-2023,27-02-2019,28-06-2020,11,Sedan,19784,0.0,0.0,"(59.0, 69.0]"
C68,57,Male,Married,Urban,Master's,Employed,Third Party,2,2,4,377538,0,1,0,In-Person,Online,5,25,0,28-03-2017,28-03-2019,27-10-2018,25-12-2018,14,Hatchback,18817,0.0,0.0,"(48.0, 59.0]"
C69,21,Male,Married,Urban,High School,Self-Employed,Third Party,9,0,4,371791,2,3,1,Email,Cheque,0,1,3,18-09-2015,31-12-2023,01-07-2022,31-01-2022,7,Luxury,17083,0.0,0.0,"(17.999, 28.0]"
C70,19,Female,Married,Urban,High School,Employed,Comprehensive,1,1,4,237496,3,3,1,In-Person,Online,8,11,5,04-10-2019,03-10-2020,26-12-2019,07-09-2020,4,Luxury,35559,0.0,0.0,"(17.999, 28.0]"
C71,23,Male,Single,Rural,Bachelor's,Employed,Comprehensive,8,4,1,47853,2,1,0,Email,Cheque,7,11,1,19-10-2016,31-12-2023,05-01-2022,24-04-2021,12,Sedan,5086,0.0,0.0,"(17.999, 28.0]"
C72,59,Male,Married,Urban,Bachelor's,Self-Employed,Comprehensive,3,3,4,127661,2,4,2,Phone,Cash,6,21,7,17-01-2016,16-01-2019,25-07-2017,19-01-2017,1,Hatchback,8498,1.0,1.0,"(48.0, 59.0]"
C73,21,Male,Single,Urban,High School,Employed,Comprehensive,6,4,4,106396,0,1,1,Email,Cheque,7,3,3,26-11-2018,31-12-2023,23-05-2023,09-01-2022,6,Sedan,6696,0.0,0.0,"(17.999, 28.0]"
C74,46,Female,Married,Urban,Bachelor's,Unemployed,Comprehensive,3,5,2,143147,2,1,0,Phone,Cheque,3,4,1,14-05-2016,14-05-2019,22-10-2017,06-11-2018,4,Hatchback,18826,1.0,1.0,"(38.0, 48.0]"
C75,35,Male,Single,Urban,Master's,Employed,Own Damage,6,0,1,170474,0,3,1,In-Person,Cash,8,7,2,24-11-2021,31-12-2023,27-12-2023,02-12-2022,10,Hatchback,14646,0.0,0.0,"(28.0, 38.0]"
C76,43,Female,Married,Metro,Master's,Self-Employed,Third Party,1,3,1,64923,1,4,0,Email,Online,0,21,2,01-11-2023,31-12-2023,25-12-2023,09-12-2023,12,SUV,22049,0.0,0.0,"(38.0, 48.0]"
C77,61,Male,Married,Rural,Master's,Employed,Comprehensive,7,3,4,62293,3,1,2,Phone,Online,4,13,3,18-06-2023,31-12-2023,16-12-2023,05-12-2023,3,Hatchback,18573,0.0,0.0,"(59.0, 69.0]"
C78,51,Male,Married,Metro,Bachelor's,Self-Employed,Comprehensive,6,2,2,400436,3,3,0,Phone,Online,5,5,0,10-06-2018,31-12-2023,18-12-2018,25-04-2023,7,SUV,18522,0.0,0.0,"(48.0, 59.0]"
C79,27,Male,Married,Rural,Diploma,Unemployed,Comprehensive,7,5,2,11885,1,4,2,Phone,Cash,5,2,5,29-03-2018,31-12-2023,08-11-2020,09-08-2020,13,Hatchback,7315,0.0,0.0,"(17.999, 28.0]"
C80,53,Female,Single,Urban,Master's,Employed,Third Party,5,2,0,368642,0,2,1,Email,Cheque,6,29,6,04-05-2021,31-12-2023,2000-01-01 00:00:00,30-03-2023,7,Luxury,21817,0.0,0.0,"(48.0, 59.0]"
C81,31,Male,Single,Urban,Bachelor's,Unemployed,Third Party,8,2,2,325755,1,1,1,Email,Cheque,4,18,8,25-05-2019,31-12-2023,20-10-2019,03-12-2020,3,SUV,22363,0.0,0.0,"(28.0, 38.0]"
C82,48,Female,Married,Urban,Master's,Self-Employed,Third Party,9,4,2,353589,1,1,0,Phone,Credit Card,5,20,0,19-10-2021,31-12-2023,24-09-2022,14-12-2022,1,Hatchback,16672,0.0,0.0,"(38.0, 48.0]"
C83,65,Male,Married,Urban,Master's,Employed,Own Damage,9,4,0,380698,2,2,1,Email,Credit Card,8,9,5,19-08-2023,31-12-2023,2000-01-01 00:00:00,20-12-2023,4,Luxury,39374,0.0,0.0,"(59.0, 69.0]"
C84,32,Male,Married,Urban,Master's,Self-Employed,Comprehensive,6,4,2,24781,0,4,0,Email,Cheque,8,15,8,04-05-2019,31-12-2023,16-05-2020,20-10-2021,0,SUV,10083,0.0,0.0,"(28.0, 38.0]"
C85,25,Female,Single,Rural,Bachelor's,Employed,Comprehensive,8,2,0,340225,2,1,1,Phone,Credit Card,8,10,7,05-08-2022,31-12-2023,2000-01-01 00:00:00,11-10-2023,6,Hatchback,10450,1.0,1.0,"(17.999, 28.0]"
C86,31,Male,Married,Metro,Master's,Employed,Comprehensive,7,1,2,49670,3,2,0,In-Person,Credit Card,2,1,8,20-03-2019,31-12-2023,20-11-2021,02-10-2020,6,Sedan,13803,1.0,1.0,"(28.0, 38.0]"
C87,40,Male,Married,Rural,Bachelor's,Employed,Comprehensive,5,2,4,298554,2,3,2,In-Person,Cheque,2,24,2,29-03-2015,27-03-2020,20-09-2018,28-04-2019,2,Sedan,11581,0.0,0.0,"(38.0, 48.0]"
C88,57,Female,Married,Urban,Master's,Self-Employed,Third Party,7,1,1,444661,3,1,0,Email,Online,7,11,5,09-01-2018,31-12-2023,30-10-2018,11-08-2018,0,SUV,15093,0.0,0.0,"(48.0, 59.0]"
C89,38,Male,Married,Rural,Bachelor's,Self-Employed,Comprehensive,1,5,1,62821,0,2,0,Phone,Cash,1,21,2,30-08-2016,30-08-2017,13-10-2016,02-02-2017,7,Sedan,6758,0.0,0.0,"(28.0, 38.0]"
C90,33,Female,Married,Metro,Bachelor's,Self-Employed,Comprehensive,5,1,4,25226,1,2,2,Email,Cheque,1,11,5,28-01-2020,31-12-2023,11-04-2023,12-07-2021,1,Sedan,17641,0.0,0.0,"(28.0, 38.0]"
C91,62,Male,Single,Metro,Master's,Employed,Third Party,4,3,2,51850,2,4,0,In-Person,Cash,2,24,0,20-10-2022,31-12-2023,23-04-2023,13-05-2023,8,Sedan,12000,0.0,0.0,"(59.0, 69.0]"
C92,35,Male,Single,Urban,Bachelor's,Self-Employed,Comprehensive,5,4,4,147770,0,1,2,In-Person,Cash,8,10,4,21-08-2020,31-12-2023,04-08-2021,22-11-2023,10,Sedan,14252,0.0,0.0,"(28.0, 38.0]"
C93,64,Male,Married,Urban,Master's,Employed,Comprehensive,7,3,1,272957,0,1,0,Phone,Credit Card,8,13,7,19-09-2021,31-12-2023,24-10-2021,07-09-2022,0,Luxury,44488,0.0,0.0,"(59.0, 69.0]"
C94,41,Female,Married,Rural,Master's,Employed,Comprehensive,5,0,1,137641,3,2,0,Email,Credit Card,7,10,4,02-05-2016,01-05-2021,06-03-2018,11-08-2018,8,SUV,27739,0.0,0.0,"(38.0, 48.0]"
C95,43,Male,Married,Metro,Master's,Employed,Comprehensive,2,1,4,316993,2,2,0,Email,Cheque,8,5,1,18-11-2016,18-11-2018,11-07-2017,16-03-2017,5,Hatchback,18174,0.0,0.0,"(38.0, 48.0]"
C96,42,Female,Married,Metro,Master's,Self-Employed,Third Party,5,2,2,468082,1,2,0,In-Person,Credit Card,1,19,4,25-06-2015,23-06-2020,20-05-2019,14-08-2016,12,SUV,13286,0.0,0.0,"(38.0, 48.0]"
C97,62,Female,Married,Metro,Master's,Employed,Comprehensive,2,4,1,125834,1,4,1,Phone,Online,6,21,3,28-12-2022,31-12-2023,17-07-2023,20-02-2023,6,Hatchback,15729,0.0,0.0,"(59.0, 69.0]"
C98,58,Male,Married,Metro,Master's,Employed,Comprehensive,2,1,4,67684,2,2,0,Phone,Credit Card,3,4,9,18-08-2021,18-08-2023,30-01-2023,10-10-2022,5,Hatchback,11878,0.0,0.0,"(48.0, 59.0]"
C99,46,Male,Married,Urban,Master's,Employed,Third Party,8,5,1,265116,0,4,0,In-Person,Online,0,29,8,15-02-2017,31-12-2023,21-03-2017,06-08-2018,3,Sedan,9295,0.0,0.0,"(38.0, 48.0]"
C100,32,Male,Single,Urban,Master's,Employed,Comprehensive,2,5,4,285148,2,3,2,Phone,Online,9,27,7,05-09-2018,04-09-2020,03-09-2020,14-05-2019,10,Hatchback,16569,1.0,1.0,"(28.0, 38.0]"
C101,62,Male,Married,Urban,Bachelor's,Employed,Comprehensive,2,5,1,306570,0,4,1,In-Person,Credit Card,3,8,2,01-03-2018,29-02-2020,23-06-2019,10-04-2018,2,Hatchback,15255,0.0,0.0,"(59.0, 69.0]"
C102,18,Male,Married,Metro,High School,Employed,Comprehensive,1,2,4,150572,0,2,1,Email,Cash,1,22,2,21-11-2019,20-11-2020,22-02-2020,10-10-2020,13,Hatchback,8661,0.0,0.0,"(17.999, 28.0]"
C103,42,Female,Single,Metro,Bachelor's,Employed,Comprehensive,3,1,3,367512,2,4,0,Phone,Credit Card,4,23,2,05-10-2021,31-12-2023,31-05-2022,22-09-2022,0,Hatchback,11816,0.0,0.0,"(38.0, 48.0]"
C104,24,Female,Married,Metro,Bachelor's,Employed,Own Damage,7,2,2,339741,3,2,2,Email,Credit Card,8,3,4,27-05-2023,31-12-2023,31-12-2023,10-07-2023,2,SUV,13276,0.0,0.0,"(17.999, 28.0]"
C105,26,Female,Married,Urban,Bachelor's,Unemployed,Comprehensive,1,1,1,454801,2,1,1,In-Person,Cheque,2,11,8,09-05-2018,09-05-2019,09-06-2018,22-04-2019,2,Luxury,40434,1.0,1.0,"(17.999, 28.0]"
C106,41,Female,Married,Urban,Bachelor's,Employed,Comprehensive,1,0,2,296627,0,4,2,In-Person,Cash,4,18,5,19-11-2016,19-11-2017,08-04-2017,29-04-2017,10,Sedan,19193,0.0,0.0,"(38.0, 48.0]"
C107,18,Female,Single,Urban,High School,Employed,Comprehensive,7,5,3,435642,1,2,2,Email,Cash,6,16,6,10-03-2020,31-12-2023,06-11-2022,29-11-2022,0,Luxury,46859,0.0,0.0,"(17.999, 28.0]"
C108,61,Male,Single,Rural,Master's,Unemployed,Comprehensive,3,2,3,11791,1,2,0,Email,Credit Card,3,25,3,19-10-2023,31-12-2023,09-12-2023,13-12-2023,8,Luxury,46966,0.0,0.0,"(59.0, 69.0]"
C109,25,Female,Single,Rural,Bachelor's,Employed,Comprehensive,6,2,3,165425,1,2,2,Phone,Cash,4,1,2,07-07-2018,31-12-2023,12-09-2023,06-09-2023,2,Sedan,6136,0.0,0.0,"(17.999, 28.0]"
C110,41,Female,Single,Urban,Bachelor's,Employed,Comprehensive,7,2,2,496633,2,3,0,Email,Online,2,21,4,01-08-2017,31-12-2023,12-04-2021,17-03-2018,0,SUV,17738,0.0,0.0,"(38.0, 48.0]"
C111,28,Male,Married,Urban,Bachelor's,Employed,Third Party,1,0,1,293715,2,3,2,Phone,Cheque,5,20,5,04-09-2018,04-09-2019,29-08-2019,10-02-2019,7,Hatchback,8387,1.0,1.0,"(17.999, 28.0]"
