CustomerID,City,Churn,PlanType,EducationLevel,WorkStatus,Gender,RelationshipStatus,PaymentPerMonth,WeeksSinceClaim,OpenPolicies,RenewOfferType,Reachability,VehicleType,InceptionDate,CancelledDate,Premium,TotalClaimValue,TotalClaimNumber,NumberOfComplaints,Age
15,Chennai,No,Standard Plan,Bachelor,Employed,Female,Single,805.82,61,4,Online Portal,Online Portal,Sedan,2017-03-06,,22122.8,29599.94,4,0,51
16,Delhi,No,Standard Plan,Bachelor,Employed,Male,Married,2557.51,19,1,Agent Contact,Customer Call Centre,Scooter,2010-07-17,,12231.41,13994.82,4,1,40
17,Jaipur,No,Standard Plan,Bachelor,Unemployed,Female,Married,4942.55,136,1,Online Portal,Online Portal,Motorcycle,2010-07-05,,8445.97,6656.0,4,2,24
18,Ahmedabad,No,Premium Plan,Bachelor,Employed,Female,Married,2774.34,65,1,Branch Visit,Agent Contact,Scooter,2011-08-06,,39013.72,32218.56,5,0,34
19,Mumbai,No,Standard Plan,Master,Self-Employed,Female,Married,1170.74,10,3,Online Portal,Agent Contact,Hatchback,2013-09-20,,45151.11,40009.99,4,2,73
20,Bangalore,No,Standard Plan,Master,Employed,Female,Married,4882.27,40,2,Agent Contact,Agent Contact,SUV,2013-12-16,,17944.9,46609.98,1,0,69
21,Pune,No,Premium Plan,Bachelor,Employed,Male,Single,2618.11,52,4,Agent Contact,Branch Visit,Hatchback,2018-08-07,,33681.59,20524.83,2,1,35
22,Jaipur,No,Premium Plan,Master,Employed,Female,Married,4726.57,30,3,Agent Contact,Agent Contact,Scooter,2020-03-29,,22859.06,36698.71,4,0,38
23,Chennai,No,Premium Plan,Doctorate,Self-Employed,Male,Married,2839.64,138,2,Online Portal,Online Portal,Hatchback,2010-06-14,,17067.95,42552.75,3,1,64
24,Lucknow,No,Standard Plan,Bachelor,Employed,Female,Single,3492.18,98,2,Online Portal,Online Portal,Scooter,2019-07-20,,15771.86,22064.52,4,2,55
25,Hyderabad,No,Standard Plan,Master,Employed,Female,Widowed,3811.83,22,3,Customer Call Centre,Online Portal,SUV,2013-05-20,,38054.63,33966.99,5,2,32
26,Kolkata,Yes,Premium Plan,High School,Employed,Female,Married,4487.62,148,2,Online Portal,Agent Contact,SUV,2022-03-08,2023-05-20,44847.67,43161.59,10,5,74
27,Bangalore,No,Premium Plan,High School,Employed,Male,Single,4317.51,117,2,Branch Visit,Online Portal,Hatchback,2021-12-06,,38252.0,22686.1,5,1,70
28,Ahmedabad,No,Basic Plan,Master,Retired,Female,Married,1666.36,64,3,Customer Call Centre,Agent Contact,Scooter,2019-04-10,,15714.95,14314.04,3,2,38
29,Lucknow,Yes,Premium Plan,Bachelor,Self-Employed,Male,Married,1988.97,120,4,Agent Contact,Online Portal,SUV,2017-02-19,2018-11-16,47410.98,1957.07,6,2,74
30,Ahmedabad,No,Premium Plan,Bachelor,Unemployed,Female,Widowed,2385.6,140,5,Online Portal,Online Portal,Scooter,2017-08-23,,18134.22,34277.95,3,0,43
31,Ahmedabad,No,Basic Plan,High School,Employed,Female,Married,3483.5,22,4,Online Portal,Agent Contact,Hatchback,2020-01-10,,23825.57,17537.53,3,0,74
32,Delhi,No,Basic Plan,Bachelor,Self-Employed,Male,Married,4999.59,90,2,Customer Call Centre,Online Portal,SUV,2014-09-25,,47581.36,10768.67,0,2,19
33,Pune,No,Standard Plan,Bachelor,Retired,Male,Single,2160.03,30,2,Branch Visit,Customer Call Centre,Sedan,2023-10-09,,45585.26,19390.04,0,1,63
34,Mumbai,No,Basic Plan,Bachelor,Employed,Male,Married,4124.88,145,1,Branch Visit,Online Portal,Sedan,2010-02-10,,18379.1,42629.21,4,1,70
35,Chennai,No,Standard Plan,Doctorate,Employed,Male,Single,2847.86,70,5,Branch Visit,Branch Visit,Sedan,2022-11-29,,17470.62,13029.26,3,2,23
36,Mumbai,No,Standard Plan,Master,Employed,Male,Married,1962.56,125,2,Online Portal,Branch Visit,SUV,2023-09-17,,15260.89,1497.4,2,1,30
37,Bangalore,No,Standard Plan,Diploma,Employed,Female,Married,4068.2,24,3,Customer Call Centre,Online Portal,Sedan,2012-09-19,,24716.5,27015.17,3,0,45
38,Kanpur,No,Standard Plan,Master,Employed,Male,Married,1919.97,138,2,Customer Call Centre,Agent Contact,Sedan,2021-11-17,,38489.98,30242.75,1,0,24
39,Kolkata,No,Standard Plan,Bachelor,Employed,Male,Single,745.37,75,2,Online Portal,Agent Contact,Hatchback,2017-03-11,,24978.28,17694.59,3,2,21
40,Mumbai,No,Premium Plan,Bachelor,Employed,Female,Married,1182.77,145,3,Online Portal,Branch Visit,Sedan,2015-10-16,,39955.56,12058.67,1,0,51
41,Delhi,No,Premium Plan,Master,Employed,Female,Single,4820.49,26,2,Online Portal,Agent Contact,Hatchback,2014-09-23,,28495.63,8670.1,1,2,44
42,Chennai,No,Premium Plan,Bachelor,Employed,Female,Married,3593.23,68,5,Branch Visit,Online Portal,Sedan,2012-08-24,,45603.75,41504.93,1,2,22
43,Bangalore,No,Standard Plan,Diploma,Retired,Male,Married,1868.41,104,3,Branch Visit,Agent Contact,Scooter,2013-08-30,,22737.38,16793.76,4,2,34
44,Bangalore,No,Standard Plan,Doctorate,Employed,Male,Married,4196.4,148,1,Branch Visit,Online Portal,Hatchback,2022-12-28,,49853.38,22358.36,3,0,70
45,Chennai,Yes,Standard Plan,Bachelor,Employed,Female,Single,3621.53,74,4,Online Portal,Agent Contact,Scooter,2015-09-23,2016-09-27,39082.3,43380.62,10,2,70
46,Kanpur,No,Standard Plan,Master,Self-Employed,Male,Married,3314.34,14,2,Online Portal,Agent Contact,Motorcycle,2011-07-31,,25266.17,2414.6,4,1,58
47,Hyderabad,No,Premium Plan,Master,Employed,Male,Widowed,4608.18,119,1,Branch Visit,Branch Visit,Sedan,2016-06-18,,15124.4,41901.47,1,2,48
48,Mumbai,No,Standard Plan,High School,Employed,Female,Married,1743.11,107,3,Agent Contact,Agent Contact,Hatchback,2011-08-24,,30173.01,49946.21,2,2,49
49,Jaipur,No,Standard Plan,Bachelor,Unemployed,Male,Divorced,4413.21,62,5,Agent Contact,Online Portal,Hatchback,2016-02-09,,24702.86,45758.08,1,1,42
50,Delhi,No,Basic Plan,High School,Employed,Male,Married,3155.81,26,4,Agent Contact,Agent Contact,Scooter,2015-11-08,,43804.78,48527.88,4,0,22
51,Chennai,No,Standard Plan,Master,Employed,Female,Married,4367.04,98,3,Agent Contact,Online Portal,Sedan,2020-04-09,,31638.05,12503.74,5,2,61
52,Lucknow,No,Standard Plan,Master,Self-Employed,Female,Married,2496.55,77,1,Customer Call Centre,Agent Contact,Hatchback,2014-07-02,,8987.35,27027.15,2,0,54
53,Pune,No,Premium Plan,Master,Employed,Female,Married,3124.21,60,4,Branch Visit,Online Portal,Motorcycle,2023-09-25,,24332.16,15093.95,2,2,52
54,Mumbai,No,Standard Plan,Master,Employed,Male,Single,4303.87,51,4,Online Portal,Online Portal,Sedan,2010-09-27,,49649.22,15466.31,0,1,71
55,Pune,No,Standard Plan,Master,Employed,Male,Married,2735.27,74,2,Online Portal,Agent Contact,Hatchback,2022-06-01,,38267.71,38606.07,2,2,61
56,Kolkata,No,Basic Plan,Master,Employed,Male,Married,3795.62,24,3,Branch Visit,Agent Contact,SUV,2017-10-25,,44070.11,18927.02,5,1,50
57,Lucknow,No,Premium Plan,Diploma,Employed,Female,Married,2024.22,30,4,Customer Call Centre,Agent Contact,SUV,2019-02-15,,34371.5,20473.16,1,0,72
58,Kolkata,No,Standard Plan,Bachelor,Employed,Male,Married,3525.53,150,4,Online Portal,Agent Contact,Scooter,2012-02-15,,44443.27,28508.96,2,2,57
59,Mumbai,Yes,Basic Plan,High School,Employed,Male,Single,4758.18,78,4,Online Portal,Online Portal,Hatchback,2016-06-10,2016-09-01,19808.55,47519.66,4,2,62
60,Surat,No,Standard Plan,Bachelor,Employed,Male,Married,2336.52,72,1,Online Portal,Online Portal,Hatchback,2019-05-24,,19408.93,49065.46,2,2,41
61,Hyderabad,No,Standard Plan,Bachelor,Self-Employed,Male,Married,2546.23,55,5,Customer Call Centre,Agent Contact,Scooter,2014-12-27,,29099.74,4361.9,0,0,66
62,Hyderabad,No,Basic Plan,Bachelor,Unemployed,Female,Married,1747.74,38,2,Customer Call Centre,Agent Contact,Motorcycle,2020-09-11,,8326.56,18553.87,2,2,68
63,Mumbai,No,Premium Plan,Bachelor,Employed,Male,Married,2643.11,93,5,Branch Visit,Agent Contact,Sedan,2020-07-10,,36907.66,45528.83,0,2,60
64,Hyderabad,No,Basic Plan,Bachelor,Employed,Male,Married,2706.21,114,1,Customer Call Centre,Agent Contact,Hatchback,2016-02-26,,32387.68,27869.47,2,0,38
65,Delhi,No,Premium Plan,Master,Employed,Female,Single,3446.21,142,2,Agent Contact,Online Portal,SUV,2019-10-28,,21139.05,36751.01,3,1,38
66,Chennai,No,Standard Plan,Bachelor,Retired,Male,Married,919.54,25,3,Online Portal,Customer Call Centre,Sedan,2013-04-09,,34160.64,21129.62,4,0,73
67,Pune,No,Basic Plan,Diploma,Student,Female,Single,3100.63,55,2,Online Portal,Agent Contact,SUV,2021-12-27,,19642.93,38367.68,3,2,54
68,Mumbai,No,Standard Plan,Diploma,Employed,Female,Married,3240.48,69,1,Customer Call Centre,Online Portal,Hatchback,2011-03-09,,2293.08,43623.27,2,0,54
69,Pune,Yes,Standard Plan,High School,Self-Employed,Male,Single,2541.41,41,3,Customer Call Centre,Online Portal,Scooter,2010-10-12,2021-04-01,4525.22,8713.08,8,4,57
70,Bangalore,Yes,Standard Plan,Master,Employed,Male,Single,2805.56,89,4,Customer Call Centre,Online Portal,Sedan,2013-11-17,2017-12-04,16804.13,11805.4,7,2,56
71,Bangalore,No,Basic Plan,Diploma,Unemployed,Male,Single,2738.23,111,2,Branch Visit,Agent Contact,Sedan,2011-05-11,,34066.31,18354.19,3,0,43
72,Jaipur,Yes,Premium Plan,High School,Retired,Female,Married,3692.75,107,3,Online Portal,Online Portal,SUV,2013-12-17,2014-09-20,31670.01,41769.27,9,2,41
73,Bangalore,No,Premium Plan,Master,Employed,Male,Single,2027.81,86,2,Customer Call Centre,Online Portal,Scooter,2016-06-20,,39258.96,18203.89,4,0,70
74,Pune,Yes,Premium Plan,Bachelor,Self-Employed,Male,Married,839.09,127,4,Agent Contact,Online Portal,Scooter,2014-09-24,2021-09-18,5277.74,22668.2,8,5,37
75,Kolkata,No,Standard Plan,Bachelor,Employed,Male,Single,1791.85,24,5,Online Portal,Online Portal,Mini Truck,2020-10-25,,37468.21,3010.11,4,2,69
76,Hyderabad,No,Standard Plan,Master,Student,Male,Married,4268.2,22,5,Online Portal,Branch Visit,Mini Truck,2016-03-16,,27155.29,30880.46,1,2,41
77,Delhi,No,Standard Plan,Bachelor,Employed,Female,Married,796.6,25,5,Online Portal,Branch Visit,SUV,2012-10-07,,45504.45,43790.7,3,2,39
78,Bangalore,No,Basic Plan,Bachelor,Employed,Female,Single,3689.75,22,3,Customer Call Centre,Online Portal,Scooter,2016-04-19,,35735.88,47408.32,3,2,61
79,Lucknow,Yes,Standard Plan,Master,Self-Employed,Male,Widowed,2037.8,125,2,Online Portal,Agent Contact,SUV,2016-01-17,2017-10-12,26369.11,27448.77,5,3,65
80,Jaipur,Yes,Standard Plan,Diploma,Self-Employed,Male,Single,4241.05,43,4,Online Portal,Branch Visit,Mini Truck,2021-05-27,2022-02-19,31308.58,37867.17,9,2,68
81,Chennai,No,Standard Plan,Diploma,Employed,Female,Single,4762.09,113,4,Branch Visit,Online Portal,Scooter,2021-12-09,,11585.49,30628.51,3,1,73
82,Mumbai,No,Basic Plan,Master,Self-Employed,Female,Married,1782.78,42,3,Online Portal,Online Portal,Motorcycle,2021-08-18,,12657.82,23105.27,4,1,40
83,Surat,No,Standard Plan,Bachelor,Employed,Male,Single,1934.08,26,3,Online Portal,Customer Call Centre,Sedan,2021-01-09,,41893.3,38183.22,1,0,48
84,Chennai,Yes,Premium Plan,Bachelor,Unemployed,Male,Married,2874.97,29,3,Online Portal,Agent Contact,Sedan,2011-03-20,2021-05-13,31894.91,4077.55,7,3,71
85,Lucknow,No,Premium Plan,Master,Self-Employed,Male,Married,3266.64,62,5,Customer Call Centre,Agent Contact,Mini Truck,2020-10-20,,5248.61,26776.91,1,1,50
86,Kolkata,No,Premium Plan,Doctorate,Self-Employed,Male,Single,3862.92,92,1,Customer Call Centre,Online Portal,SUV,2012-11-29,,37288.98,17293.41,1,1,20
87,Delhi,No,Standard Plan,Diploma,Employed,Female,Married,1320.25,35,1,Online Portal,Agent Contact,SUV,2019-02-02,,44517.94,16464.2,3,2,37
88,Chennai,No,Standard Plan,Bachelor,Unemployed,Male,Single,4013.79,85,3,Branch Visit,Online Portal,Sedan,2022-05-28,,47910.98,17612.79,2,0,29
89,Chennai,No,Basic Plan,Master,Unemployed,Female,Single,3211.04,47,5,Online Portal,Online Portal,Hatchback,2014-03-02,,23403.96,36165.48,2,1,28
90,Pune,No,Premium Plan,Doctorate,Employed,Female,Single,4910.12,15,1,Branch Visit,Online Portal,SUV,2012-10-12,,9679.36,2525.89,5,2,72
91,Hyderabad,No,Premium Plan,Bachelor,Unemployed,Male,Single,3052.6,40,4,Branch Visit,Agent Contact,Scooter,2017-11-12,,19613.6,16404.89,2,1,35
92,Mumbai,Yes,Standard Plan,Master,Employed,Female,Single,1671.3,115,2,Online Portal,Agent Contact,Scooter,2016-06-15,2018-04-18,10287.51,35955.12,10,4,23
93,Kolkata,No,Basic Plan,Master,Employed,Male,Single,1849.81,41,2,Online Portal,Customer Call Centre,SUV,2020-11-20,,13363.34,25207.07,4,1,41
94,Hyderabad,No,Basic Plan,Master,Employed,Male,Single,4998.18,123,5,Agent Contact,Agent Contact,Mini Truck,2021-09-16,,32832.25,23048.75,3,1,61
95,Chennai,Yes,Basic Plan,Master,Employed,Female,Single,2762.89,15,1,Online Portal,Online Portal,SUV,2019-06-23,2020-11-13,18609.11,47104.3,7,3,75
96,Mumbai,Yes,Premium Plan,High School,Employed,Female,Married,920.43,44,5,Customer Call Centre,Branch Visit,Sedan,2021-08-25,2022-05-19,42441.44,28617.28,5,3,70
97,Jaipur,Yes,Basic Plan,Diploma,Employed,Male,Married,3281.49,8,4,Branch Visit,Branch Visit,SUV,2023-01-27,2023-10-29,16276.83,4575.68,7,4,21
98,Mumbai,No,Standard Plan,Bachelor,Self-Employed,Female,Single,4946.11,89,4,Branch Visit,Agent Contact,Hatchback,2010-12-14,,7881.05,23030.2,2,0,27
99,Bangalore,No,Standard Plan,Master,Self-Employed,Female,Single,1973.46,148,3,Branch Visit,Online Portal,Sedan,2013-11-24,,16809.94,2135.64,1,0,43
100,Chennai,No,Premium Plan,Bachelor,Self-Employed,Male,Married,3444.17,121,3,Agent Contact,Online Portal,Motorcycle,2023-12-25,,36920.39,38428.98,0,2,41
101,Bangalore,Yes,Standard Plan,Bachelor,Employed,Male,Married,2974.36,31,2,Online Portal,Customer Call Centre,Sedan,2010-07-19,2023-09-12,19549.11,8069.1,9,2,56
102,Chennai,No,Premium Plan,Bachelor,Employed,Male,Married,3228.17,132,2,Online Portal,Online Portal,Sedan,2015-05-15,,42444.89,30092.51,4,1,50
103,Kolkata,No,Standard Plan,Bachelor,Unemployed,Male,Married,4909.54,150,3,Customer Call Centre,Online Portal,Hatchback,2016-10-28,,33468.37,48630.79,5,2,55
104,Hyderabad,No,Standard Plan,Bachelor,Employed,Female,Married,1164.99,63,1,Online Portal,Agent Contact,Hatchback,2014-07-22,,9268.7,34834.51,5,2,44
105,Chennai,No,Standard Plan,Diploma,Employed,Female,Married,3023.99,123,5,Agent Contact,Online Portal,Sedan,2011-02-16,,28221.11,34117.56,2,1,73
106,Ahmedabad,No,Standard Plan,Master,Self-Employed,Male,Married,1511.9,77,3,Customer Call Centre,Online Portal,Sedan,2013-08-04,,28903.4,46789.78,1,2,64
107,Mumbai,Yes,Standard Plan,Bachelor,Student,Female,Widowed,4120.77,75,1,Online Portal,Online Portal,Hatchback,2019-08-26,2021-09-04,24995.8,10901.33,4,4,52
108,Mumbai,No,Premium Plan,Bachelor,Employed,Male,Single,4573.33,58,2,Branch Visit,Branch Visit,Scooter,2013-08-14,,38996.77,1253.89,0,0,53
109,Nagpur,No,Standard Plan,Doctorate,Employed,Female,Married,1792.6,74,1,Branch Visit,Online Portal,SUV,2021-02-24,,46960.13,45748.26,5,0,29
110,Delhi,No,Basic Plan,Bachelor,Unemployed,Female,Single,3870.51,75,1,Branch Visit,Agent Contact,Mini Truck,2018-06-30,,15658.96,49465.87,2,0,52
111,Hyderabad,No,Premium Plan,Master,Employed,Female,Single,3790.04,66,2,Online Portal,Agent Contact,SUV,2016-09-24,,11271.74,30936.77,5,0,58
112,Lucknow,No,Standard Plan,Bachelor,Employed,Male,Single,1956.21,64,1,Online Portal,Branch Visit,Mini Truck,2020-12-08,,16493.4,36421.24,3,1,18
113,Mumbai,No,Premium Plan,Master,Employed,Male,Married,4653.98,80,1,Online Portal,Agent Contact,Mini Truck,2017-10-22,,24952.73,23293.95,2,2,56
114,Delhi,No,Basic Plan,Diploma,Unemployed,Female,Married,3561.54,21,5,Customer Call Centre,Agent Contact,Sedan,2012-06-06,,4964.39,27834.81,4,1,50
115,Mumbai,No,Premium Plan,Doctorate,Employed,Female,Married,2699.73,131,4,Online Portal,Online Portal,Sedan,2014-07-04,,28822.27,33965.62,3,0,37
116,Ahmedabad,No,Basic Plan,Diploma,Employed,Male,Single,786.92,16,1,Online Portal,Agent Contact,Scooter,2012-05-17,,32793.2,36735.19,0,1,44
117,Delhi,No,Standard Plan,High School,Employed,Male,Widowed,4435.49,35,3,Agent Contact,Online Portal,Scooter,2014-03-13,,48978.77,41906.26,1,0,66
118,Bangalore,No,Standard Plan,Master,Employed,Female,Single,2057.72,71,2,Online Portal,Online Portal,Sedan,2022-09-04,,46939.42,44563.03,0,2,33
119,Mumbai,Yes,Premium Plan,Master,Employed,Male,Married,2310.19,60,5,Online Portal,Customer Call Centre,Hatchback,2019-07-21,2023-08-02,45987.06,29229.41,3,3,54
120,Hyderabad,No,Standard Plan,Bachelor,Self-Employed,Female,Single,1852.25,16,5,Agent Contact,Online Portal,Sedan,2014-06-21,,25789.8,48642.22,5,2,59
121,Pune,No,Standard Plan,Master,Self-Employed,Male,Married,2630.83,58,3,Agent Contact,Customer Call Centre,Sedan,2022-09-16,,48453.74,28307.05,1,2,26
122,Delhi,No,Standard Plan,Bachelor,Employed,Male,Married,4232.33,14,3,Customer Call Centre,Agent Contact,Scooter,2019-12-12,,40623.23,29791.6,5,1,60
123,Hyderabad,No,Basic Plan,Bachelor,Student,Male,Divorced,4829.35,31,4,Customer Call Centre,Agent Contact,Motorcycle,2017-04-16,,28499.81,39000.18,5,0,42
124,Chennai,No,Standard Plan,Bachelor,Retired,Male,Married,3750.86,82,2,Branch Visit,Online Portal,Hatchback,2019-12-05,,9004.29,13777.93,2,1,55
125,Hyderabad,No,Premium Plan,Bachelor,Employed,Female,Married,3445.74,87,3,Customer Call Centre,Online Portal,Scooter,2016-10-17,,40158.82,9294.02,5,1,64
126,Hyderabad,No,Basic Plan,High School,Student,Male,Married,834.49,13,1,Agent Contact,Agent Contact,SUV,2016-02-28,,2438.79,25780.91,1,1,41
127,Bangalore,No,Basic Plan,High School,Employed,Male,Married,2351.02,5,5,Branch Visit,Agent Contact,Sedan,2013-09-24,,35497.24,22098.09,2,2,29
128,Bangalore,Yes,Premium Plan,Bachelor,Employed,Female,Single,2286.03,96,4,Agent Contact,Agent Contact,SUV,2012-05-09,2020-09-01,42697.62,33033.05,6,5,72
129,Pune,Yes,Standard Plan,Bachelor,Employed,Female,Married,872.09,112,3,Online Portal,Customer Call Centre,SUV,2018-05-25,2018-10-10,29205.64,14283.66,3,2,22
130,Pune,No,Standard Plan,Master,Self-Employed,Female,Single,1432.21,37,4,Online Portal,Agent Contact,SUV,2022-11-10,,20679.52,44929.76,2,0,39
131,Delhi,No,Standard Plan,Master,Self-Employed,Female,Single,939.59,60,1,Customer Call Centre,Customer Call Centre,Hatchback,2010-10-20,,39130.64,2451.66,4,1,35
132,Kolkata,No,Premium Plan,Master,Employed,Male,Married,2210.33,76,2,Online Portal,Agent Contact,SUV,2011-11-13,,32427.24,37243.11,0,2,38
133,Delhi,Yes,Basic Plan,Master,Unemployed,Male,Single,2439.41,143,5,Online Portal,Online Portal,Scooter,2012-08-07,2022-09-03,30706.1,16897.09,4,5,42
134,Bangalore,No,Standard Plan,Diploma,Employed,Female,Single,2844.97,98,2,Online Portal,Online Portal,Scooter,2012-09-21,,22864.46,21634.01,2,0,48
135,Kolkata,No,Basic Plan,Diploma,Employed,Female,Married,1109.7,2,4,Online Portal,Branch Visit,Sedan,2023-06-23,,22669.58,41353.23,4,1,59
136,Nagpur,Yes,Standard Plan,High School,Self-Employed,Male,Widowed,4859.26,75,4,Online Portal,Branch Visit,Hatchback,2021-07-30,2022-10-18,7466.62,28628.67,8,3,55
137,Kanpur,No,Standard Plan,Bachelor,Employed,Female,Single,4089.58,18,4,Online Portal,Online Portal,Hatchback,2020-02-23,,9398.88,21733.27,3,2,42
138,Bangalore,No,Standard Plan,Master,Employed,Female,Married,2946.4,93,5,Agent Contact,Agent Contact,Hatchback,2011-01-30,,33905.31,9150.59,5,2,57
139,Bangalore,No,Standard Plan,Bachelor,Unemployed,Female,Married,547.46,67,2,Branch Visit,Online Portal,Sedan,2016-07-18,,23397.37,20165.57,5,2,67
140,Pune,No,Premium Plan,High School,Employed,Male,Divorced,886.35,37,3,Branch Visit,Agent Contact,Sedan,2016-06-29,,24855.8,22470.13,2,1,62
141,Chennai,Yes,Premium Plan,Diploma,Self-Employed,Male,Single,4100.23,63,5,Online Portal,Online Portal,Sedan,2020-02-20,2021-12-28,40292.28,31858.26,5,3,29
142,Pune,No,Premium Plan,Master,Self-Employed,Female,Single,3671.31,53,3,Branch Visit,Branch Visit,Sedan,2019-01-01,,19558.07,10656.64,0,2,25
143,Mumbai,No,Standard Plan,Master,Employed,Female,Married,2065.66,118,5,Customer Call Centre,Agent Contact,Sedan,2014-04-12,,6068.09,7563.44,5,0,25
144,Mumbai,Yes,Standard Plan,Bachelor,Employed,Female,Married,2403.67,125,5,Branch Visit,Agent Contact,Hatchback,2019-05-31,2019-02-05,23648.05,3626.95,5,3,40
145,Surat,No,Premium Plan,Bachelor,Employed,Female,Married,2712.77,114,4,Branch Visit,Branch Visit,Hatchback,2021-07-29,,3569.36,12017.33,0,0,36
146,Mumbai,No,Standard Plan,Diploma,Employed,Male,Single,3988.01,94,5,Branch Visit,Agent Contact,Sedan,2022-04-06,,37327.46,33029.91,5,0,33
147,Mumbai,No,Standard Plan,Bachelor,Unemployed,Male,Widowed,3990.34,61,2,Customer Call Centre,Branch Visit,Sedan,2011-12-13,,22552.02,31191.41,4,2,68
148,Mumbai,No,Premium Plan,Bachelor,Employed,Male,Single,3668.24,75,5,Agent Contact,Online Portal,Scooter,2021-08-07,,48213.06,39498.86,4,1,21
149,Kanpur,No,Premium Plan,Doctorate,Self-Employed,Female,Married,3926.63,101,4,Customer Call Centre,Online Portal,Hatchback,2019-02-19,,5624.78,39935.33,4,0,67
150,Bangalore,No,Premium Plan,High School,Employed,Female,Single,511.13,24,4,Customer Call Centre,Branch Visit,SUV,2022-10-10,,21090.36,48438.3,5,2,70
151,Mumbai,No,Basic Plan,Bachelor,Employed,Female,Married,2046.83,13,1,Customer Call Centre,Online Portal,Scooter,2014-07-16,,43167.28,22623.01,5,0,18
152,Kanpur,No,Basic Plan,High School,Retired,Male,Married,4444.68,24,3,Online Portal,Customer Call Centre,Scooter,2023-01-28,,21024.4,15969.95,0,1,62
153,Ahmedabad,No,Premium Plan,Bachelor,Self-Employed,Male,Married,2837.5,114,1,Online Portal,Agent Contact,Motorcycle,2020-11-26,,35313.49,24407.31,5,0,32
154,Delhi,No,Premium Plan,Bachelor,Retired,Male,Married,3889.21,35,2,Branch Visit,Online Portal,Scooter,2015-10-15,,18857.01,11439.72,4,0,65
155,Mumbai,No,Standard Plan,Doctorate,Self-Employed,Male,Married,3153.08,99,3,Customer Call Centre,Agent Contact,Sedan,2011-11-25,,13912.02,30448.95,2,1,64
156,Hyderabad,No,Standard Plan,Diploma,Employed,Male,Married,2792.85,101,3,Customer Call Centre,Branch Visit,Hatchback,2014-12-29,,20522.51,12813.01,0,2,58
157,Hyderabad,No,Basic Plan,High School,Retired,Male,Married,3057.71,94,5,Customer Call Centre,Customer Call Centre,SUV,2017-05-25,,2801.09,4309.1,1,2,34
158,Mumbai,No,Basic Plan,Bachelor,Employed,Female,Married,2406.09,103,1,Branch Visit,Agent Contact,Scooter,2012-09-09,,5793.03,46125.32,4,2,69
159,Mumbai,No,Standard Plan,Diploma,Employed,Female,Single,2468.69,62,1,Agent Contact,Agent Contact,Sedan,2017-09-20,,4641.37,33637.9,0,0,60
160,Ahmedabad,Yes,Standard Plan,Diploma,Self-Employed,Female,Married,4023.44,67,2,Customer Call Centre,Branch Visit,SUV,2010-01-21,2022-04-14,7666.72,45094.97,5,4,39
