Customer_ID,Age,Gender,Marital_Status,Region,Education_Level,Employment_Status,Policy_Type,premium_amount,Policy_Tenure,Policy_Renewal_Count,Total_Claims_Filed,Claim_Amount_Total,Missed_Payments,Discount_Availed,Family_Members_Insured,Policy_Cancellation_History,Mode_of_Communication,Payment_Mode,Customer_Complaints,Complaint_Resolution_Time,Customer_Support_Calls,Customer_Join_Date,Policy_Start_Date,Vehicle_Age,Vehicle_Type,Last_Claim_Date,Last_Payment_Date,Churn
11,30,Female,Divorced,Metro,Bachelor,Student,Third-Party,1846.11,3,0,4,311541.98,2,0,3,0,SMS,UPI,4.0,2,0,2020-05-05,2020-12-15,2,Hatchback,2016-01-03,2020-07-27,0
12,29,Female,Married,Metro,Bachelor,Employed,Zero Depreciation,1851.79,1,6,5,62898.72,3,1,3,3,Agent,Net Banking,1.0,20,16,2018-06-04,2023-12-13,0,Hatchback,2015-01-06,2023-09-06,1
13,41,Male,Married,Urban,High School,Self-Employed,Third-Party,9841.52,5,9,2,435259.41,0,1,3,0,Email,Cash,1.0,11,9,2016-07-04,2022-01-10,1,Hatchback,2016-01-15,2023-06-23,0
14,69,Female,Married,Urban,Bachelor,Employed,Comprehensive,5872.17,3,6,2,51351.2,1,0,2,0,Agent,UPI,4.0,9,12,2020-06-20,2022-07-18,1,Sedan,2018-07-13,2023-12-18,0
15,53,Male,Divorced,Metro,Bachelor,Retired,Third-Party,6800.02,3,7,5,210611.8,1,1,3,2,Email,Net Banking,6.0,17,14,2019-01-24,2023-04-19,0,Hatchback,2017-01-11,2023-04-12,0
16,58,Male,Single,Urban,High School,Retired,Third-Party,9210.33,3,9,5,128560.43,0,0,1,2,Email,Cash,4.0,18,14,2022-09-04,2022-02-13,1,Electric,,2022-10-25,0
17,43,Female,Divorced,Urban,High School,Employed,Comprehensive,1066.93,1,1,3,313289.37,1,0,1,1,Phone,Net Banking,4.0,18,19,2021-02-18,2023-12-10,0,Electric,2018-03-24,2023-07-20,0
18,21,Female,Single,Rural,High School,Employed,Comprehensive,4840.22,5,8,3,184986.98,1,0,3,1,SMS,Net Banking,1.0,10,5,2019-11-20,2021-08-21,2,Sedan,2017-02-06,2021-01-15,0
19,37,Male,Married,Urban,Bachelor,Employed,Zero Depreciation,6097.6,3,7,0,261813.67,3,0,1,3,Email,Cash,5.0,24,1,2020-10-07,2023-08-26,0,Sedan,2017-09-12,2023-09-20,0
20,69,Male,Divorced,Urban,High School,Student,Zero Depreciation,1019.28,1,1,0,365959.51,2,1,2,2,SMS,UPI,4.0,23,18,2016-01-22,2023-07-12,0,Hatchback,2015-03-25,2023-12-12,0
21,17,Female,Divorced,Urban,Bachelor,Employed,Third-Party,6619.73,5,3,2,228875.5,2,0,5,2,Phone,Cash,5.0,20,14,2018-05-03,2021-12-14,0,Electric,2023-02-26,2022-01-04,1
22,41,Female,Single,Metro,Bachelor,Student,Third-Party,8658.44,5,4,0,346923.95,3,0,4,0,Phone,UPI,4.0,24,4,2018-02-13,2021-07-28,2,Electric,2017-09-21,2021-11-16,0
23,60,Female,Divorced,Metro,Bachelor,Retired,Comprehensive,1494.17,1,9,4,431837.93,0,0,4,2,Agent,UPI,7.0,16,10,2019-08-21,2021-08-13,2,Electric,2023-09-05,2021-09-17,1
24,49,Male,Divorced,Metro,Master,Employed,Zero Depreciation,8238.03,5,9,4,102346.95,3,0,2,1,Phone,UPI,9.0,16,11,2020-03-12,2020-09-12,3,Hatchback,2020-06-22,2020-08-26,0
25,53,Male,Single,Metro,Bachelor,Self-Employed,Comprehensive,9797.77,3,2,0,233653.13,0,1,4,0,Agent,Net Banking,0.0,5,18,2020-04-22,2021-01-17,2,Sedan,2022-09-27,2023-07-09,0
26,20,Female,Divorced,Metro,Bachelor,Employed,Comprehensive,9282.59,1,3,3,321056.43,2,0,5,0,Email,Credit Card,,17,0,2019-12-22,2021-11-05,0,SUV,2021-12-07,2021-10-25,1
27,37,Male,Divorced,Metro,Master,Employed,Comprehensive,5833.12,5,5,1,305243.94,4,1,1,0,SMS,UPI,4.0,11,15,2016-10-21,2022-05-11,1,Electric,2017-04-27,2022-01-18,1
28,52,Male,Married,Metro,Bachelor,Employed,Third-Party,8744.16,1,6,5,208200.35,3,0,2,0,SMS,UPI,0.0,18,12,2017-09-24,2019-03-03,3,Sedan,2023-09-22,2021-02-10,0
29,27,Female,Married,Metro,Master,Employed,Comprehensive,7935.73,3,3,4,133433.82,3,0,4,3,Phone,UPI,9.0,20,13,2018-03-15,2021-06-02,2,Sedan,2015-01-02,2023-01-15,0
30,37,Male,Married,Metro,Bachelor,Employed,Third-Party,8358.99,5,8,4,13165.64,0,1,4,1,Phone,Net Banking,7.0,21,8,2021-05-21,2022-10-20,1,Electric,,2022-02-12,1
31,59,Female,Married,Urban,High School,Employed,Comprehensive,4582.45,5,7,0,475987.76,4,0,1,2,Phone,UPI,9.0,21,14,2018-11-11,2022-09-16,1,Hatchback,2021-09-07,2022-03-26,0
32,44,Female,Married,Rural,Bachelor,Self-Employed,Comprehensive,5280.59,1,9,2,42694.0,1,0,3,1,Email,Net Banking,,29,7,2015-04-27,2023-03-19,0,Electric,2017-12-10,2023-06-23,0
33,67,Male,Divorced,Urban,High School,Self-Employed,Comprehensive,3152.11,1,6,4,228327.25,1,0,2,3,Email,UPI,3.0,20,2,2015-06-13,2023-09-16,0,SUV,2016-11-11,2023-02-01,1
34,44,Male,Divorced,Metro,High School,Student,Third-Party,1464.13,1,2,5,214823.09,1,1,2,1,SMS,Net Banking,1.0,6,15,2019-02-07,2020-08-12,3,Electric,,2020-02-15,0
35,58,Female,Married,Metro,High School,Self-Employed,Zero Depreciation,6375.07,1,0,3,462011.48,2,1,3,3,Email,Credit Card,7.0,20,8,2020-04-21,2022-12-09,1,Hatchback,2017-12-24,2023-03-06,0
36,47,Male,Single,Metro,High School,Self-Employed,Zero Depreciation,3786.19,5,8,2,110690.02,3,0,2,0,Phone,Net Banking,5.0,20,4,2022-07-21,2022-03-01,1,SUV,2018-12-07,2023-03-18,0
37,34,Female,Married,Metro,Bachelor,Employed,Zero Depreciation,5524.37,5,6,5,389410.2,1,0,2,1,Phone,Credit Card,9.0,9,9,2022-03-09,2023-02-22,0,Sedan,2015-12-04,2023-04-12,0
38,30,Male,Divorced,Urban,Master,Employed,Comprehensive,9664.23,3,8,1,61127.19,3,1,3,1,Email,Cash,4.0,21,8,2017-04-24,2022-09-12,1,SUV,2021-06-02,2022-10-20,1
39,63,Male,Single,Metro,Master,Employed,Third-Party,1568.33,5,5,3,34333.45,1,1,4,1,Email,Cash,9.0,21,7,2019-12-19,2019-07-20,4,Electric,2023-11-02,2022-08-09,0
40,69,Male,Married,Urban,High School,Employed,Third-Party,8861.38,1,8,5,479528.04,1,1,3,0,Email,UPI,5.0,11,0,2021-10-13,2021-10-27,2,Sedan,2020-02-12,2022-04-16,1
41,61,Female,Single,Urban,Bachelor,Self-Employed,Comprehensive,1780.87,5,1,0,41196.98,3,1,4,2,SMS,UPI,2.0,6,4,2020-04-05,2023-11-08,0,Hatchback,,2023-05-19,0
42,72,Male,Married,Metro,High School,Self-Employed,Comprehensive,6882.19,3,3,5,87896.13,1,0,2,1,Agent,Cash,2.0,15,9,2022-02-25,2023-11-09,0,Sedan,2015-02-21,2023-01-22,0
43,68,Female,Divorced,Urban,Bachelor,Student,Third-Party,4089.35,3,7,5,378389.62,0,0,5,2,Agent,UPI,2.0,2,3,2015-02-05,2015-01-13,8,Hatchback,,2017-08-08,0
44,75,Female,Married,Metro,Master,Employed,Comprehensive,1901.33,1,6,5,397103.81,0,0,5,2,Phone,Credit Card,1.0,4,19,2017-11-14,2023-08-05,0,SUV,2015-12-04,2023-04-24,0
45,21,Female,Single,Metro,High School,Self-Employed,Comprehensive,7812.45,1,0,2,44402.7,3,0,1,2,SMS,UPI,2.0,27,17,2016-07-13,2020-07-28,3,Electric,,2021-04-19,0
46,52,Male,Divorced,Urban,Master,Retired,Third-Party,7287.25,1,3,5,100244.98,0,1,3,0,Phone,UPI,4.0,27,0,2022-09-09,2023-04-19,0,Electric,2021-11-25,2023-07-21,0
47,70,Female,Married,Rural,Master,Employed,Zero Depreciation,6762.32,1,5,4,87300.85,4,0,4,3,Phone,Net Banking,6.0,11,5,2015-11-24,2015-04-06,8,Hatchback,2021-05-05,2018-12-22,1
48,22,Female,Married,Rural,Bachelor,Employed,Comprehensive,9683.94,1,3,3,351396.18,3,0,2,0,Agent,Net Banking,4.0,22,18,2016-11-18,2017-05-08,6,Hatchback,2020-05-16,2017-12-18,0
49,38,Male,Married,Rural,Bachelor,Retired,Third-Party,1213.1,3,5,4,418514.64,2,0,2,3,Agent,Net Banking,4.0,18,11,2019-11-11,2019-04-03,1,SUV,2016-10-05,2020-09-21,0
50,25,Female,Married,Metro,Bachelor,Employed,Comprehensive,4911.97,3,0,0,116921.66,1,1,2,2,Email,Credit Card,0.0,4,3,2016-05-14,2019-10-27,4,Sedan,2017-05-15,2022-02-09,0
51,55,Female,Divorced,Metro,Master,Self-Employed,Third-Party,6063.97,1,8,3,461182.7,1,1,2,3,Phone,Net Banking,1.0,13,12,2017-08-01,2018-04-27,5,Electric,2017-03-04,2023-03-20,0
52,36,Male,Divorced,Metro,Bachelor,Retired,Third-Party,4219.31,1,2,0,41362.82,3,0,5,0,Agent,Cash,,17,16,2019-09-25,2019-02-04,4,SUV,2018-11-05,2019-01-18,0
53,19,Female,Married,Metro,Bachelor,Employed,Third-Party,7025.48,5,4,5,373100.67,1,0,2,0,Phone,Credit Card,7.0,24,6,2017-09-04,2017-09-09,6,Electric,2023-01-28,2022-02-24,1
54,42,Male,Divorced,Metro,Bachelor,Employed,Comprehensive,9092.83,1,2,3,39873.4,3,0,5,3,Email,UPI,3.0,17,6,2019-11-17,2019-07-12,4,Sedan,2016-11-05,2022-05-15,0
55,29,Female,Single,Urban,Bachelor,Retired,Comprehensive,7272.85,1,7,3,433776.77,0,0,3,0,Email,UPI,,8,3,2018-03-12,2020-09-18,3,SUV,2017-08-01,2023-01-09,0
56,65,Female,Divorced,Urban,Master,Retired,Third-Party,6124.37,1,4,4,478633.35,1,0,1,1,SMS,Net Banking,5.0,17,12,2017-09-25,2019-06-17,4,Sedan,2020-04-21,2021-06-07,0
57,25,Male,Single,Rural,Master,Employed,Comprehensive,7640.57,3,6,5,43600.59,0,0,3,0,SMS,Cash,,23,13,2015-10-11,2022-06-12,1,Hatchback,2021-02-05,2023-04-01,0
58,44,Female,Single,Rural,Bachelor,Employed,Zero Depreciation,1986.68,1,2,4,205269.52,1,0,2,2,Agent,UPI,9.0,24,7,2022-01-04,2022-12-10,1,Electric,2016-02-26,2022-05-07,0
59,72,Female,Divorced,Metro,Bachelor,Employed,Comprehensive,6669.95,3,2,4,429072.95,4,0,3,0,Phone,Net Banking,0.0,5,2,2020-05-08,2022-03-19,1,Hatchback,,2022-05-06,0
60,19,Female,Married,Rural,Master,Retired,Zero Depreciation,4665.19,1,1,3,479335.83,2,1,5,1,Agent,Cash,4.0,18,10,2015-04-19,2021-02-11,2,SUV,2017-09-27,2023-06-18,0
61,35,Male,Divorced,Metro,High School,Employed,Comprehensive,3869.16,1,9,4,236595.26,3,1,1,0,Email,UPI,,26,11,2016-02-24,2017-05-07,1,Sedan,2019-12-27,2017-08-11,0
62,43,Male,Single,Metro,Bachelor,Employed,Comprehensive,5563.98,1,4,3,255019.27,3,0,5,2,SMS,Credit Card,3.0,14,16,2022-02-25,2023-10-15,0,SUV,2017-03-25,2023-05-12,0
63,62,Male,Single,Urban,Bachelor,Self-Employed,Comprehensive,8242.6,5,5,3,78913.55,3,1,3,2,SMS,Credit Card,3.0,4,9,2017-03-22,2019-06-15,4,SUV,2023-04-24,2021-04-17,1
64,23,Male,Divorced,Metro,Bachelor,Employed,Zero Depreciation,4713.13,1,1,2,98034.16,0,1,3,1,SMS,Net Banking,2.0,19,1,2022-09-06,2022-06-03,1,SUV,2023-08-09,2022-04-20,0
65,60,Male,Single,Rural,Bachelor,Student,Comprehensive,7322.04,1,1,4,399156.38,1,0,4,0,SMS,UPI,4.0,19,1,2019-09-28,2022-10-18,1,Electric,2019-02-21,2022-09-17,0
66,27,Female,Divorced,Urban,Bachelor,Student,Zero Depreciation,6300.05,3,5,0,231067.38,1,0,5,2,Phone,UPI,8.0,7,6,2021-04-18,2021-11-17,2,Electric,,2022-12-25,0
67,64,Male,Divorced,Rural,Bachelor,Employed,Comprehensive,9245.4,3,3,1,381550.64,0,0,2,1,Phone,Net Banking,,20,19,2018-12-10,2021-12-03,2,SUV,2019-04-18,2023-08-21,1
68,51,Male,Married,Rural,High School,Employed,Third-Party,5003.58,1,3,4,257367.69,3,1,4,2,SMS,Cash,8.0,19,9,2021-11-21,2023-04-11,0,Sedan,2023-12-27,2023-02-10,0
69,33,Male,Single,Urban,High School,Employed,Third-Party,8379.28,3,4,5,470915.9,1,1,2,2,Email,Net Banking,3.0,21,11,2020-08-17,2022-07-14,1,Sedan,2018-04-27,2022-03-26,0
70,35,Female,Divorced,Metro,High School,Employed,Third-Party,8577.79,1,7,5,89367.24,1,1,1,0,Agent,Cash,4.0,21,16,2022-02-08,2023-04-22,0,Hatchback,2016-02-12,2023-10-02,0
71,51,Female,Single,Metro,High School,Self-Employed,Third-Party,5177.58,1,3,3,40113.89,2,0,5,1,Agent,Net Banking,0.0,2,19,2018-02-11,2019-09-23,2,Sedan,2017-08-24,2021-03-10,0
72,66,Male,Divorced,Metro,Bachelor,Employed,Comprehensive,5397.3,1,5,5,189064.34,1,1,2,3,Agent,Cash,7.0,9,14,2015-10-18,2020-12-24,2,Electric,,2023-05-08,0
73,57,Female,Divorced,Metro,Bachelor,Employed,Comprehensive,4000.73,1,8,0,402362.27,4,0,5,1,Email,Cash,4.0,15,2,2018-10-08,2022-07-22,1,Hatchback,2020-03-17,2022-08-16,0
74,21,Female,Married,Rural,High School,Employed,Comprehensive,5459.97,3,0,3,214768.3,4,0,4,0,Phone,Credit Card,0.0,26,2,2015-02-23,2019-02-15,1,Sedan,2017-04-10,2019-09-23,0
75,20,Female,Divorced,Metro,Bachelor,Employed,Comprehensive,3243.28,3,5,5,362149.74,2,1,1,3,Email,UPI,6.0,4,17,2015-04-03,2023-03-11,0,Electric,2018-12-07,2023-02-12,0
76,22,Female,Married,Rural,Bachelor,Employed,Zero Depreciation,8724.4,1,2,2,335466.5,3,1,1,2,Phone,Cash,6.0,17,18,2015-06-03,2021-01-23,2,Hatchback,,2022-10-26,0
77,72,Male,Single,Urban,High School,Self-Employed,Third-Party,3249.22,5,5,0,453517.01,3,0,4,0,Email,Credit Card,8.0,8,2,2018-05-22,2018-10-20,5,Electric,,2022-05-27,0
78,60,Male,Married,Metro,Bachelor,Employed,Third-Party,3318.61,1,5,5,297518.3,0,0,5,2,SMS,Net Banking,9.0,22,8,2022-04-18,2022-12-14,1,SUV,2019-08-02,2022-09-07,0
79,21,Female,Married,Metro,Bachelor,Employed,Comprehensive,9060.93,1,2,0,258676.83,4,1,3,2,Phone,Credit Card,3.0,15,14,2017-12-19,2018-05-28,5,Hatchback,,2022-06-21,0
80,72,Female,Single,Metro,High School,Self-Employed,Third-Party,5789.44,5,3,2,58256.41,3,0,3,2,SMS,UPI,4.0,3,18,2022-04-26,2023-10-10,0,Hatchback,2022-03-22,2023-01-18,0
81,46,Female,Married,Metro,High School,Retired,Third-Party,1946.24,3,5,3,32566.93,0,0,2,0,Email,Cash,,19,1,2022-07-07,2023-07-23,0,Hatchback,2021-04-27,2023-02-03,0
82,36,Female,Married,Urban,Master,Employed,Comprehensive,4111.52,3,4,2,9488.65,4,0,2,2,Phone,Credit Card,,9,17,2016-02-22,2018-10-07,5,Electric,2016-12-19,2023-06-03,0
83,45,Male,Divorced,Metro,Bachelor,Employed,Comprehensive,7348.48,3,3,2,420682.56,0,0,4,3,Phone,Credit Card,6.0,21,1,2021-06-14,2022-11-18,1,Electric,2016-12-28,2023-05-11,0
84,59,Female,Married,Urban,Bachelor,Employed,Zero Depreciation,4652.24,5,2,1,185908.23,3,1,2,0,Phone,Net Banking,8.0,27,4,2021-08-28,2022-03-14,1,Sedan,2015-08-21,2022-01-17,0
85,52,Male,Divorced,Metro,Bachelor,Employed,Zero Depreciation,4808.59,1,1,4,59995.35,4,1,2,0,Agent,Net Banking,5.0,23,16,2015-11-21,2023-06-27,0,Electric,2018-08-17,2023-06-19,0
86,27,Female,Married,Urban,Master,Self-Employed,Comprehensive,5488.19,3,7,2,300923.91,2,1,3,2,Email,UPI,1.0,12,3,2016-01-13,2017-08-19,0,Sedan,2021-08-04,2022-01-17,1
87,51,Male,Single,Rural,Master,Employed,Zero Depreciation,3002.55,3,8,0,201898.15,4,1,3,1,SMS,Cash,8.0,28,13,2020-02-08,2023-04-14,0,Electric,,2023-10-25,1
88,33,Female,Single,Metro,Bachelor,Self-Employed,Third-Party,4816.49,1,3,0,107774.44,3,1,5,3,Agent,Credit Card,7.0,13,11,2018-04-18,2021-10-24,2,Electric,2015-02-14,2023-12-17,1
89,46,Male,Married,Metro,Bachelor,Retired,Zero Depreciation,2938.08,1,3,3,330765.71,3,1,3,2,Email,UPI,,3,6,2022-03-14,2022-02-27,1,SUV,2019-04-02,2023-11-22,0
90,64,Male,Divorced,Urban,Bachelor,Self-Employed,Comprehensive,4156.71,1,4,0,210548.5,3,0,3,2,SMS,Net Banking,2.0,14,4,2017-05-15,2017-03-21,6,Electric,,2017-03-03,0
91,32,Male,Married,Rural,High School,Employed,Zero Depreciation,5791.33,1,3,1,198654.22,2,1,4,3,Phone,Cash,9.0,17,3,2018-02-15,2021-02-20,2,Sedan,,2021-01-20,1
92,23,Female,Divorced,Metro,Master,Employed,Third-Party,7243.51,3,9,2,428138.4,4,1,5,2,Agent,UPI,,26,1,2016-01-21,2016-11-26,3,Sedan,,2016-10-28,0
93,30,Male,Married,Metro,Bachelor,Employed,Comprehensive,6705.32,3,7,3,449975.17,2,0,5,3,Phone,Net Banking,,13,3,2015-02-25,2020-12-24,3,Sedan,,2021-10-05,0
94,41,Female,Single,Metro,Bachelor,Self-Employed,Comprehensive,6179.72,3,1,1,355662.77,0,1,5,2,Phone,Cash,7.0,9,12,2018-03-14,2023-03-27,0,Hatchback,2018-03-24,2023-05-13,0
95,75,Male,Single,Metro,Master,Employed,Comprehensive,6359.8,3,4,4,465537.85,0,1,3,2,Phone,Cash,9.0,28,1,2022-08-07,2022-04-18,1,Electric,2018-10-12,2022-05-01,1
96,55,Male,Divorced,Metro,High School,Employed,Third-Party,5598.36,5,9,2,418278.01,0,1,5,2,Agent,UPI,3.0,12,7,2021-01-06,2023-08-06,0,Hatchback,2023-10-10,2023-12-02,0
97,37,Female,Married,Metro,High School,Employed,Comprehensive,6531.52,3,9,5,63681.24,4,0,1,2,SMS,Cash,5.0,15,6,2021-01-13,2021-03-04,1,SUV,2017-09-23,2023-07-02,0
98,31,Male,Divorced,Urban,Bachelor,Employed,Third-Party,4379.67,3,7,3,344548.53,1,1,4,1,Agent,UPI,6.0,8,17,2019-08-10,2021-11-03,1,Electric,2021-05-04,2023-05-26,0
99,60,Female,Single,Metro,Bachelor,Self-Employed,Comprehensive,9095.03,1,3,3,32871.95,3,0,1,0,SMS,Credit Card,7.0,3,5,2021-12-24,2023-01-21,0,Electric,,2023-07-28,0
100,37,Female,Divorced,Metro,Bachelor,Retired,Third-Party,6315.04,1,0,2,84039.81,4,0,2,3,Phone,Net Banking,3.0,26,14,2022-03-07,2023-06-24,0,SUV,2015-06-19,2023-12-27,0
101,64,Female,Married,Metro,High School,Student,Comprehensive,9429.32,5,4,0,499073.26,1,0,2,1,Phone,Credit Card,7.0,22,10,2019-04-02,2022-03-27,1,Hatchback,2018-03-17,2022-06-05,0
102,71,Female,Divorced,Rural,Bachelor,Self-Employed,Third-Party,4641.24,5,4,2,419821.66,1,0,5,3,Phone,Cash,,1,9,2015-12-11,2019-12-09,4,Hatchback,,2023-01-20,0
103,39,Male,Married,Metro,High School,Employed,Comprehensive,4550.63,5,8,3,130270.86,0,1,1,1,Agent,UPI,5.0,19,17,2015-01-19,2021-12-06,2,Sedan,2022-08-16,2022-11-27,0
104,44,Male,Married,Rural,Bachelor,Employed,Zero Depreciation,9685.18,5,2,5,153523.09,4,1,1,0,Agent,UPI,4.0,12,9,2022-09-28,2022-01-04,1,Hatchback,2021-12-10,2022-04-16,0
105,43,Female,Single,Urban,High School,Employed,Zero Depreciation,7561.5,1,2,3,480476.28,1,0,1,3,SMS,Cash,4.0,3,15,2017-01-17,2020-06-14,3,Sedan,2018-04-11,2021-05-27,0
106,63,Male,Married,Metro,Bachelor,Employed,Third-Party,5668.66,3,3,5,164616.47,1,0,3,2,Email,Net Banking,,8,13,2016-03-03,2022-04-21,1,SUV,2019-07-18,2022-08-15,0
107,56,Male,Married,Metro,Master,Employed,Third-Party,7466.56,5,4,5,271124.99,1,0,1,0,SMS,Net Banking,,1,9,2016-11-28,2019-10-07,4,Hatchback,,2022-03-16,0
108,44,Female,Married,Urban,Master,Retired,Third-Party,4570.51,3,8,3,478453.9,4,1,2,1,Email,Net Banking,,13,2,2018-07-04,2023-06-02,0,SUV,2020-11-28,2023-11-16,0
109,34,Male,Divorced,Urban,Bachelor,Self-Employed,Zero Depreciation,7829.27,5,3,3,170078.68,4,0,2,0,Email,Cash,,18,11,2018-10-20,2022-03-10,1,Hatchback,2020-09-16,2023-08-16,0
110,63,Female,Single,Urban,Bachelor,Retired,Third-Party,2886.2,3,8,5,52961.23,3,0,2,2,Phone,Net Banking,1.0,17,8,2015-10-03,2018-12-05,5,Electric,2015-07-13,2023-05-06,0
111,16,Male,Divorced,Urban,Bachelor,Employed,Third-Party,9557.92,3,6,2,399666.08,1,1,4,3,SMS,UPI,9.0,21,19,2021-11-19,2022-03-11,1,Sedan,2021-07-25,2023-09-09,1
112,43,Male,Divorced,Urban,Bachelor,Employed,Third-Party,5147.69,5,4,3,80880.38,3,1,2,3,Agent,UPI,2.0,15,12,2020-05-07,2021-11-18,2,Hatchback,,2023-08-04,0
113,23,Female,Single,Metro,Master,Retired,Zero Depreciation,1836.16,3,1,0,349880.93,0,1,4,1,Phone,Net Banking,0.0,22,3,2020-04-09,2020-05-01,3,Hatchback,2023-12-12,2022-09-15,1
114,24,Male,Divorced,Rural,Master,Self-Employed,Zero Depreciation,8605.12,5,9,5,30552.69,3,0,3,2,Email,Cash,2.0,14,1,2021-03-22,2021-01-21,2,SUV,2015-08-12,2021-04-10,0
115,43,Male,Divorced,Urban,Master,Employed,Comprehensive,9049.23,1,9,3,110932.83,0,1,4,2,Agent,UPI,3.0,17,12,2019-08-11,2022-06-11,1,Electric,2021-04-18,2023-03-05,0
116,20,Female,Married,Metro,Master,Employed,Zero Depreciation,7569.62,3,5,5,89535.04,1,1,2,0,Email,Credit Card,7.0,25,8,2016-01-15,2020-02-22,3,Hatchback,2017-04-07,2022-02-10,0
117,60,Male,Divorced,Urban,High School,Employed,Comprehensive,6667.34,1,6,4,205778.58,3,1,4,2,Email,Credit Card,0.0,3,1,2016-02-18,2020-03-02,3,Hatchback,2019-02-25,2020-11-07,0
118,24,Female,Single,Urban,Bachelor,Retired,Comprehensive,9355.77,1,3,5,121914.61,0,1,1,3,Phone,Credit Card,8.0,20,10,2018-09-09,2019-05-17,4,Sedan,2015-11-03,2019-04-10,0
119,43,Male,Divorced,Metro,Master,Employed,Comprehensive,6598.5,1,6,3,491107.85,4,1,5,1,Email,UPI,1.0,26,9,2017-06-03,2019-04-25,4,Electric,2020-09-27,2021-04-24,0
120,27,Female,Married,Metro,Master,Employed,Third-Party,8122.74,1,2,5,145490.46,2,0,2,2,Agent,Net Banking,9.0,14,7,2018-06-10,2020-01-16,0,Electric,,2020-05-21,0
121,69,Female,Divorced,Metro,Master,Self-Employed,Third-Party,5241.21,3,5,1,160452.42,4,0,3,1,Phone,Credit Card,5.0,17,16,2017-08-27,2019-06-01,4,SUV,2020-07-22,2022-12-21,0
122,34,Female,Single,Metro,Bachelor,Self-Employed,Comprehensive,7544.85,3,7,0,82281.58,1,1,1,1,SMS,UPI,3.0,22,16,2019-10-26,2023-04-24,0,Electric,2018-06-14,2023-11-08,0
123,27,Female,Married,Metro,Bachelor,Employed,Comprehensive,9990.84,5,0,4,415524.95,3,0,2,3,SMS,Cash,4.0,11,8,2015-11-27,2018-03-17,0,Sedan,2018-11-18,2021-08-14,1
124,52,Female,Divorced,Metro,High School,Employed,Comprehensive,4442.55,1,5,1,487366.55,0,0,3,3,Agent,Net Banking,1.0,13,16,2019-11-04,2019-10-21,4,Electric,,2022-05-23,0
125,52,Male,Single,Metro,Bachelor,Self-Employed,Comprehensive,7480.96,3,8,5,213326.62,1,0,3,0,Agent,Credit Card,0.0,18,5,2017-05-04,2021-10-26,1,SUV,2020-06-16,2022-07-15,0
126,49,Male,Single,Metro,Bachelor,Employed,Comprehensive,2340.03,1,6,0,446775.25,3,0,5,1,Email,Net Banking,,8,8,2016-12-18,2023-01-05,0,Sedan,2016-08-19,2023-08-08,0
