Customer_ID,Age,Gender,Marital_Status,Region,Education_Level,Employment_Status,Policy_Type,Policy_Tenure,Policy_Renewal_Count,Total_Claims_Filed,Claim_Amount_Total,Missed_Payments,Family_Members_Insured,Policy_Cancellation_History,Mode_of_Communication,Payment_Mode,Customer_Complaints,Complaint_Resolution_Time,Customer_Support_Calls,Policy_Start_Date,Policy_End_Date,Last_Claim_Date,Last_Payment_Date,Vehicle_Age,Vehicle_Type,Premium_Amount,Churn,Age_Group,Policy_Duration,Policy_Age,Time_Since_Last_Claim,Time_Since_Last_Payment
C11,28,Male,Married,Urban,Bachelor's,Unemployed,Comprehensive,6,4,1,451632,1,4,2,Phone,Cheque,2,22,1,,,,2022-08-02,5,Sedan,15439,0.0,"(25, 35]",0.0,0.0,0.0,546
C12,28,Male,Married,Metro,Bachelor's,Employed,Comprehensive,7,4,3,79715,3,4,0,Email,Cash,2,29,3,2016-09-09,2023-08-09,,2019-07-23,4,Sedan,11724,0.0,"(25, 35]",2525.0,7.389459274469542,0.0,1652
C13,41,Male,Single,Metro,Bachelor's,Employed,Third Party,8,5,0,477040,2,4,2,In-Person,Credit Card,2,18,7,2022-02-04,,2000-01-01,2022-08-08,4,SUV,19502,0.0,"(35, 45]",0.0,1.9849418206707734,8795.0,540
C14,53,Male,Married,Urban,Bachelor's,Unemployed,Third Party,5,1,2,475889,2,3,2,Phone,Cash,5,19,4,,,2019-12-03,2018-08-17,6,Hatchback,17890,0.0,"(45, 55]",0.0,0.0,1519.0,1992
C15,57,Female,Married,Metro,Master's,Self-Employed,Comprehensive,4,5,4,60626,0,2,2,Phone,Cash,3,25,9,,,2022-09-01,2023-12-22,6,Luxury,25250,0.0,"(55, 65]",0.0,0.0,516.0,39
C16,41,Male,Single,Rural,Master's,Employed,Comprehensive,3,5,2,202152,3,4,2,Email,Credit Card,1,8,1,2018-09-08,2021-08-08,,2018-11-26,10,Sedan,8267,0.0,"(35, 45]",1065.0,5.393566050650239,0.0,1891
C17,20,Male,Single,Urban,High School,Employed,Comprehensive,6,2,4,310580,0,4,0,In-Person,Cash,2,23,6,2017-12-12,2023-11-12,2019-12-07,2023-01-27,9,Sedan,14324,0.0,"(18, 25]",2161.0,6.132785763175907,1515.0,368
C18,39,Female,Married,Metro,Bachelor's,Unemployed,Third Party,7,4,3,60100,1,3,2,Email,Online,2,3,6,,,,2023-11-20,3,SUV,19601,0.0,"(35, 45]",0.0,0.0,0.0,71
C19,19,Male,Married,Urban,High School,Employed,Comprehensive,2,4,0,8314,1,1,2,Phone,Online,6,15,4,,,2000-01-01,2019-05-17,3,Hatchback,11107,0.0,"(18, 25]",0.0,0.0,8795.0,1719
C20,41,Female,Single,Rural,Bachelor's,Employed,Comprehensive,2,3,0,285966,0,2,2,In-Person,Credit Card,5,28,2,2016-03-05,2018-03-05,2000-01-01,2018-03-22,0,Sedan,14524,0.0,"(35, 45]",730.0,7.904175222450377,8795.0,2140
C21,61,Male,Single,Rural,Bachelor's,Unemployed,Own Damage,2,1,0,315073,1,1,2,Phone,Cheque,4,16,9,2022-03-12,,2000-01-01,2023-10-15,0,Sedan,10386,0.0,"(55, 65]",0.0,1.8863791923340179,8795.0,107
C22,47,Female,Single,Metro,Bachelor's,Employed,Comprehensive,8,0,1,430987,0,2,2,Email,Cheque,5,16,1,,,,2021-10-08,10,Hatchback,11798,0.0,"(45, 55]",0.0,0.0,0.0,844
C23,55,Male,Single,Urban,Bachelor's,Self-Employed,Comprehensive,1,2,3,404032,0,4,2,Email,Online,7,9,7,2019-05-01,2020-05-01,,2019-06-27,4,Hatchback,15954,0.0,"(45, 55]",366.0,4.7501711156741955,0.0,1678
C24,19,Female,Married,Urban,High School,Employed,Third Party,3,5,1,298183,2,2,0,Phone,Cash,4,22,5,,,,2022-02-10,5,Hatchback,11640,0.0,"(18, 25]",0.0,0.0,0.0,719
C25,38,Female,Single,Urban,Master's,Employed,Comprehensive,7,3,4,278292,0,1,1,Email,Credit Card,5,17,3,2019-10-08,,,2022-04-26,9,Hatchback,15988,0.0,"(35, 45]",0.0,4.312114989733059,0.0,644
C26,50,Male,Single,Urban,Bachelor's,Employed,Own Damage,1,2,1,363368,1,2,2,In-Person,Credit Card,6,20,3,,,2015-07-11,2016-02-10,12,SUV,19145,0.0,"(45, 55]",0.0,0.0,3125.0,2911
C27,29,Male,Married,Metro,Bachelor's,Employed,Third Party,2,2,0,121500,0,4,0,In-Person,Cash,2,27,6,2019-03-04,2021-02-04,2000-01-01,2019-09-22,1,Hatchback,12875,0.0,"(25, 35]",703.0,4.908966461327857,8795.0,1591
C28,39,Male,Single,Urban,Bachelor's,Employed,Comprehensive,5,0,2,268399,2,1,2,In-Person,Cash,5,14,7,2021-02-03,,2022-10-01,2022-08-02,12,Hatchback,17627,0.0,"(35, 45]",0.0,2.9869952087611225,486.0,546
C29,61,Female,Married,Urban,Bachelor's,Employed,Third Party,4,2,0,24400,2,1,2,In-Person,Online,9,26,2,,,2000-01-01,2021-07-09,3,SUV,12588,0.0,"(55, 65]",0.0,0.0,8795.0,935
C30,42,Male,Married,Metro,Master's,Employed,Comprehensive,3,4,3,472509,1,4,2,Email,Cheque,2,28,2,,,,2017-08-12,13,SUV,15806,0.0,"(35, 45]",0.0,0.0,0.0,2362
C31,66,Male,Married,Metro,Master's,Unemployed,Comprehensive,8,1,3,128570,1,4,2,Phone,Cheque,5,11,6,,,,2023-12-31,12,Sedan,7428,1.0,"(65, 100]",0.0,0.0,0.0,30
C32,44,Male,Married,Metro,Master's,Employed,Comprehensive,9,5,0,362746,1,3,1,In-Person,Cash,4,14,7,2018-06-04,,2000-01-01,2020-08-06,12,Hatchback,10524,0.0,"(35, 45]",0.0,5.6563997262149215,8795.0,1272
C33,59,Male,Married,Urban,Master's,Employed,Comprehensive,2,4,0,437822,3,3,0,In-Person,Cash,1,15,0,2016-12-04,2018-12-04,2000-01-01,2017-05-31,8,Sedan,7595,0.0,"(55, 65]",730.0,7.15400410677618,8795.0,2435
C34,45,Male,Single,Metro,Bachelor's,Employed,Own Damage,6,3,3,81838,3,2,0,Email,Cash,2,4,6,2020-05-09,,2021-01-11,2023-07-13,10,Hatchback,12380,0.0,"(35, 45]",0.0,3.7262149212867897,1114.0,201
C35,33,Female,Married,Urban,Bachelor's,Self-Employed,Comprehensive,9,3,1,119968,1,4,2,Phone,Online,4,18,6,,,2022-03-03,2018-01-13,8,Luxury,40326,0.0,"(25, 35]",0.0,0.0,698.0,2208
C36,32,Male,Married,Urban,Master's,Self-Employed,Third Party,7,0,1,342723,3,4,0,In-Person,Cheque,5,12,3,,,,2022-08-28,14,Hatchback,16946,0.0,"(25, 35]",0.0,0.0,0.0,520
C37,64,Female,Single,Rural,Master's,Employed,Comprehensive,6,2,3,264873,1,3,2,Email,Credit Card,6,1,3,,,,2018-04-13,4,Sedan,5273,0.0,"(55, 65]",0.0,0.0,0.0,2118
C38,68,Male,Married,Urban,Bachelor's,Unemployed,Third Party,9,3,0,151093,1,1,2,In-Person,Cash,8,6,8,,,2000-01-01,2021-01-12,10,SUV,15383,0.0,"(65, 100]",0.0,0.0,8795.0,1113
C39,61,Male,Married,Rural,Master's,Employed,Comprehensive,7,4,0,217170,0,2,1,Email,Credit Card,8,27,8,2023-02-10,,2000-01-01,2023-11-11,5,Hatchback,12542,0.0,"(55, 65]",0.0,0.9691991786447639,8795.0,80
C40,69,Male,Single,Metro,Bachelor's,Employed,Third Party,2,0,3,412702,1,4,2,In-Person,Online,0,2,5,,,,2018-02-07,9,SUV,15064,0.0,"(65, 100]",0.0,0.0,0.0,2183
C41,20,Male,Married,Urban,High School,Employed,Third Party,7,1,3,207492,3,3,0,Phone,Cash,6,24,9,,,2023-03-11,2023-03-15,14,Hatchback,15894,0.0,"(18, 25]",0.0,0.0,325.0,321
C42,54,Female,Married,Metro,Bachelor's,Unemployed,Comprehensive,6,1,1,36260,3,4,1,Phone,Credit Card,0,26,9,2020-08-05,,,2023-06-14,0,Hatchback,15156,0.0,"(45, 55]",0.0,3.485284052019165,0.0,230
C43,68,Female,Married,Urban,Bachelor's,Employed,Comprehensive,3,1,3,124523,3,4,1,In-Person,Online,7,19,8,,,,2023-11-19,14,Hatchback,14211,0.0,"(65, 100]",0.0,0.0,0.0,72
C44,24,Male,Married,Urban,Bachelor's,Self-Employed,Comprehensive,1,1,0,440096,0,2,2,Phone,Cash,1,16,0,,,2000-01-01,2017-01-18,3,Hatchback,15087,0.0,"(18, 25]",0.0,0.0,8795.0,2568
C45,38,Male,Married,Urban,Bachelor's,Self-Employed,Third Party,1,0,0,247419,0,3,2,Phone,Online,5,4,2,2015-10-03,2016-09-03,2000-01-01,2015-05-31,12,Hatchback,14347,0.0,"(35, 45]",336.0,8.32580424366872,8795.0,3166
C46,26,Male,Single,Urban,Bachelor's,Employed,Third Party,9,5,3,416247,2,2,2,Phone,Credit Card,1,1,1,2020-04-01,,2023-11-10,2021-12-26,5,SUV,20231,0.0,"(25, 35]",0.0,3.8302532511978096,81.0,765
C47,56,Female,Single,Metro,Bachelor's,Employed,Third Party,9,2,4,20244,2,3,2,Email,Cheque,4,6,8,,,2022-05-03,2020-11-30,1,Sedan,8885,1.0,"(55, 65]",0.0,0.0,637.0,1156
C48,35,Female,Single,Urban,Bachelor's,Employed,Third Party,5,0,0,400205,0,3,0,Email,Cash,1,13,1,,,2000-01-01,2020-12-26,12,Hatchback,9704,0.0,"(25, 35]",0.0,0.0,8795.0,1130
C49,21,Female,Married,Rural,High School,Self-Employed,Third Party,2,4,1,5902,0,2,0,In-Person,Credit Card,2,17,4,2023-12-11,,,2023-12-16,13,Hatchback,10157,0.0,"(18, 25]",0.0,0.13689253935660506,0.0,45
C50,42,Male,Married,Metro,Bachelor's,Employed,Comprehensive,3,5,4,218779,1,4,0,In-Person,Credit Card,4,6,1,2015-10-11,2018-09-11,,2017-05-15,3,Hatchback,10366,0.0,"(35, 45]",1066.0,8.303901437371664,0.0,2451
C51,31,Male,Married,Rural,Master's,Employed,Third Party,6,4,4,15117,1,3,2,Email,Cheque,2,24,2,,,,2020-08-03,4,Hatchback,18642,0.0,"(25, 35]",0.0,0.0,0.0,1275
C52,67,Male,Married,Metro,Master's,Employed,Third Party,8,2,2,70670,1,4,0,Phone,Credit Card,1,12,9,,,,2022-02-22,1,Sedan,13389,0.0,"(65, 100]",0.0,0.0,0.0,707
C53,26,Male,Married,Urban,Diploma,Employed,Comprehensive,9,1,4,102346,1,1,1,In-Person,Cheque,4,28,6,,,2020-09-12,2021-01-09,13,Sedan,8657,0.0,"(25, 35]",0.0,0.0,1235.0,1116
C54,43,Male,Married,Rural,Master's,Self-Employed,Comprehensive,6,3,3,475112,2,3,1,Phone,Credit Card,0,23,7,,,2023-02-01,2022-03-05,14,Sedan,17681,1.0,"(35, 45]",0.0,0.0,363.0,696
C55,19,Male,Single,Metro,High School,Employed,Own Damage,5,4,2,100312,1,2,1,Email,Online,4,25,2,2018-05-12,2023-04-12,,2019-05-07,5,Hatchback,7434,0.0,"(18, 25]",1796.0,5.71937029431896,0.0,1729
C56,37,Male,Married,Urban,Bachelor's,Employed,Third Party,1,0,1,220650,1,2,1,Phone,Cheque,7,19,0,2020-04-03,2021-04-03,2020-10-12,2020-06-29,10,Hatchback,8946,0.0,"(35, 45]",365.0,3.8247775496235454,1205.0,1310
C57,45,Female,Married,Urban,Bachelor's,Employed,Own Damage,7,2,4,206318,3,4,0,In-Person,Cheque,7,6,8,2021-06-06,,2022-09-12,2023-11-01,9,Hatchback,17050,0.0,"(35, 45]",0.0,2.650239561943874,505.0,90
C58,64,Female,Married,Urban,Bachelor's,Employed,Third Party,5,4,2,146500,2,1,2,Phone,Online,0,11,4,2021-11-05,,,2023-05-22,8,Hatchback,12800,0.0,"(55, 65]",0.0,2.2340862422997945,0.0,253
C59,24,Male,Single,Urban,Bachelor's,Employed,Comprehensive,1,5,0,382385,3,3,1,Phone,Cash,9,17,3,,,2000-01-01,2019-12-09,7,SUV,10751,0.0,"(18, 25]",0.0,0.0,8795.0,1513
C60,61,Male,Married,Urban,Master's,Employed,Comprehensive,5,3,4,304652,0,3,2,Email,Credit Card,4,29,3,2023-03-04,,2023-11-11,2023-11-14,10,Luxury,21821,0.0,"(55, 65]",0.0,0.9089664613278576,80.0,77
C61,25,Male,Married,Rural,Bachelor's,Employed,Third Party,4,2,2,126650,1,4,0,Email,Cash,3,4,0,2018-09-02,2022-08-02,2019-05-12,2021-12-21,4,SUV,13696,0.0,"(18, 25]",1430.0,5.409993155373032,1724.0,770
C62,64,Female,Single,Metro,Master's,Employed,Third Party,4,5,0,218538,2,4,1,In-Person,Online,5,6,5,,,2000-01-01,2023-08-26,0,Hatchback,16642,1.0,"(55, 65]",0.0,0.0,8795.0,157
C63,52,Female,Single,Urban,Bachelor's,Employed,Comprehensive,8,0,2,249536,3,2,0,Email,Credit Card,5,4,9,,,,2021-11-01,14,Hatchback,7916,0.0,"(45, 55]",0.0,0.0,0.0,820
C64,31,Female,Single,Urban,Master's,Employed,Comprehensive,2,2,0,339075,3,4,0,Email,Online,5,28,6,2021-07-05,2023-07-05,2000-01-01,2022-05-10,0,Hatchback,17473,0.0,"(25, 35]",730.0,2.5708418891170433,8795.0,630
C65,34,Female,Married,Rural,Bachelor's,Self-Employed,Comprehensive,9,3,3,235900,2,4,0,In-Person,Credit Card,4,21,6,,,,2021-09-30,7,Hatchback,5104,1.0,"(25, 35]",0.0,0.0,0.0,852
C66,53,Male,Single,Metro,Master's,Employed,Comprehensive,3,3,0,211840,3,3,2,Email,Cash,7,29,8,,,2000-01-01,2018-08-18,13,Luxury,43787,0.0,"(45, 55]",0.0,0.0,8795.0,1991
C67,67,Male,Married,Rural,Bachelor's,Employed,Third Party,6,5,4,23873,1,2,1,Email,Cheque,9,7,4,,,,2020-06-28,11,Sedan,19784,0.0,"(65, 100]",0.0,0.0,0.0,1311
C68,57,Male,Married,Urban,Master's,Employed,Third Party,2,2,4,377538,0,1,0,In-Person,Online,5,25,0,,,,2018-12-25,14,Hatchback,18817,0.0,"(55, 65]",0.0,0.0,0.0,1862
C69,21,Male,Married,Urban,High School,Self-Employed,Third Party,9,0,4,371791,2,3,1,Email,Cheque,0,1,3,,,2022-01-07,2022-01-31,7,Luxury,17083,0.0,"(18, 25]",0.0,0.0,753.0,729
C70,19,Female,Married,Urban,High School,Employed,Comprehensive,1,1,4,237496,3,3,1,In-Person,Online,8,11,5,2019-04-10,2020-03-10,,2020-09-07,4,Luxury,35559,0.0,"(18, 25]",335.0,4.80766598220397,0.0,1240
C71,23,Male,Single,Rural,Bachelor's,Employed,Comprehensive,8,4,1,47853,2,1,0,Email,Cheque,7,11,1,,,2022-05-01,2021-04-24,12,Sedan,5086,0.0,"(18, 25]",0.0,0.0,639.0,1011
C72,59,Male,Married,Urban,Bachelor's,Self-Employed,Comprehensive,3,3,4,127661,2,4,2,Phone,Cash,6,21,7,,,,2017-01-19,1,Hatchback,8498,1.0,"(55, 65]",0.0,0.0,0.0,2567
C73,21,Male,Single,Urban,High School,Employed,Comprehensive,6,4,4,106396,0,1,1,Email,Cheque,7,3,3,,,,2022-01-09,6,Sedan,6696,0.0,"(18, 25]",0.0,0.0,0.0,751
C74,46,Female,Married,Urban,Bachelor's,Unemployed,Comprehensive,3,5,2,143147,2,1,0,Phone,Cheque,3,4,1,,,,2018-11-06,4,Hatchback,18826,1.0,"(45, 55]",0.0,0.0,0.0,1911
C75,35,Male,Single,Urban,Master's,Employed,Own Damage,6,0,1,170474,0,3,1,In-Person,Cash,8,7,2,,,,2022-12-02,10,Hatchback,14646,0.0,"(25, 35]",0.0,0.0,0.0,424
C76,43,Female,Married,Metro,Master's,Self-Employed,Third Party,1,3,1,64923,1,4,0,Email,Online,0,21,2,2023-01-11,,,2023-12-09,12,SUV,22049,0.0,"(35, 45]",0.0,1.051334702258727,0.0,52
C77,61,Male,Married,Rural,Master's,Employed,Comprehensive,7,3,4,62293,3,1,2,Phone,Online,4,13,3,,,,2023-12-05,3,Hatchback,18573,0.0,"(55, 65]",0.0,0.0,0.0,56
C78,51,Male,Married,Metro,Bachelor's,Self-Employed,Comprehensive,6,2,2,400436,3,3,0,Phone,Online,5,5,0,2018-10-06,,,2023-04-25,7,SUV,18522,0.0,"(45, 55]",0.0,5.316906228610541,0.0,280
C79,27,Male,Married,Rural,Diploma,Unemployed,Comprehensive,7,5,2,11885,1,4,2,Phone,Cash,5,2,5,,,2020-08-11,2020-08-09,13,Hatchback,7315,0.0,"(25, 35]",0.0,0.0,1267.0,1269
C80,53,Female,Single,Urban,Master's,Employed,Third Party,5,2,0,368642,0,2,1,Email,Cheque,6,29,6,2021-04-05,,2000-01-01,2023-03-30,7,Luxury,21817,0.0,"(45, 55]",0.0,2.8199863107460645,8795.0,306
C81,31,Male,Single,Urban,Bachelor's,Unemployed,Third Party,8,2,2,325755,1,1,1,Email,Cheque,4,18,8,,,,2020-12-03,3,SUV,22363,0.0,"(25, 35]",0.0,0.0,0.0,1153
C82,48,Female,Married,Urban,Master's,Self-Employed,Third Party,9,4,2,353589,1,1,0,Phone,Credit Card,5,20,0,,,,2022-12-14,1,Hatchback,16672,0.0,"(45, 55]",0.0,0.0,0.0,412
C83,65,Male,Married,Urban,Master's,Employed,Own Damage,9,4,0,380698,2,2,1,Email,Credit Card,8,9,5,,,2000-01-01,2023-12-20,4,Luxury,39374,0.0,"(55, 65]",0.0,0.0,8795.0,41
C84,32,Male,Married,Urban,Master's,Self-Employed,Comprehensive,6,4,2,24781,0,4,0,Email,Cheque,8,15,8,2019-04-05,,,2021-10-20,0,SUV,10083,0.0,"(25, 35]",0.0,4.82135523613963,0.0,832
C85,25,Female,Single,Rural,Bachelor's,Employed,Comprehensive,8,2,0,340225,2,1,1,Phone,Credit Card,8,10,7,2022-05-08,,2000-01-01,2023-10-11,6,Hatchback,10450,1.0,"(18, 25]",0.0,1.730321697467488,8795.0,111
C86,31,Male,Married,Metro,Master's,Employed,Comprehensive,7,1,2,49670,3,2,0,In-Person,Credit Card,2,1,8,,,,2020-10-02,6,Sedan,13803,1.0,"(25, 35]",0.0,0.0,0.0,1215
C87,40,Male,Married,Rural,Bachelor's,Employed,Comprehensive,5,2,4,298554,2,3,2,In-Person,Cheque,2,24,2,,,,2019-04-28,2,Sedan,11581,0.0,"(35, 45]",0.0,0.0,0.0,1738
C88,57,Female,Married,Urban,Master's,Self-Employed,Third Party,7,1,1,444661,3,1,0,Email,Online,7,11,5,2018-09-01,,,2018-08-11,0,SUV,15093,0.0,"(55, 65]",0.0,5.412731006160164,0.0,1998
C89,38,Male,Married,Rural,Bachelor's,Self-Employed,Comprehensive,1,5,1,62821,0,2,0,Phone,Cash,1,21,2,,,,2017-02-02,7,Sedan,6758,0.0,"(35, 45]",0.0,0.0,0.0,2553
C90,33,Female,Married,Metro,Bachelor's,Self-Employed,Comprehensive,5,1,4,25226,1,2,2,Email,Cheque,1,11,5,,,2023-11-04,2021-07-12,1,Sedan,17641,0.0,"(25, 35]",0.0,0.0,87.0,932
C91,62,Male,Single,Metro,Master's,Employed,Third Party,4,3,2,51850,2,4,0,In-Person,Cash,2,24,0,,,,2023-05-13,8,Sedan,12000,0.0,"(55, 65]",0.0,0.0,0.0,262
C92,35,Male,Single,Urban,Bachelor's,Self-Employed,Comprehensive,5,4,4,147770,0,1,2,In-Person,Cash,8,10,4,,,2021-04-08,2023-11-22,10,Sedan,14252,0.0,"(25, 35]",0.0,0.0,1027.0,69
C93,64,Male,Married,Urban,Master's,Employed,Comprehensive,7,3,1,272957,0,1,0,Phone,Credit Card,8,13,7,,,,2022-09-07,0,Luxury,44488,0.0,"(55, 65]",0.0,0.0,0.0,510
C94,41,Female,Married,Rural,Master's,Employed,Comprehensive,5,0,1,137641,3,2,0,Email,Credit Card,7,10,4,2016-02-05,2021-01-05,2018-06-03,2018-08-11,8,SUV,27739,0.0,"(35, 45]",1796.0,7.983572895277208,2067.0,1998
C95,43,Male,Married,Metro,Master's,Employed,Comprehensive,2,1,4,316993,2,2,0,Email,Cheque,8,5,1,,,2017-11-07,2017-03-16,5,Hatchback,18174,0.0,"(35, 45]",0.0,0.0,2275.0,2511
C96,42,Female,Married,Metro,Master's,Self-Employed,Third Party,5,2,2,468082,1,2,0,In-Person,Credit Card,1,19,4,,,,2016-08-14,12,SUV,13286,0.0,"(35, 45]",0.0,0.0,0.0,2725
C97,62,Female,Married,Metro,Master's,Employed,Comprehensive,2,4,1,125834,1,4,1,Phone,Online,6,21,3,,,,2023-02-20,6,Hatchback,15729,0.0,"(55, 65]",0.0,0.0,0.0,344
C98,58,Male,Married,Metro,Master's,Employed,Comprehensive,2,1,4,67684,2,2,0,Phone,Credit Card,3,4,9,,,,2022-10-10,5,Hatchback,11878,0.0,"(55, 65]",0.0,0.0,0.0,477
C99,46,Male,Married,Urban,Master's,Employed,Third Party,8,5,1,265116,0,4,0,In-Person,Online,0,29,8,,,,2018-08-06,3,Sedan,9295,0.0,"(45, 55]",0.0,0.0,0.0,2003
C100,32,Male,Single,Urban,Master's,Employed,Comprehensive,2,5,4,285148,2,3,2,Phone,Online,9,27,7,2018-05-09,2020-04-09,2020-03-09,2019-05-14,10,Hatchback,16569,1.0,"(25, 35]",701.0,5.727583846680356,1422.0,1722
C101,62,Male,Married,Urban,Bachelor's,Employed,Comprehensive,2,5,1,306570,0,4,1,In-Person,Credit Card,3,8,2,2018-01-03,,,2018-04-10,2,Hatchback,15255,0.0,"(55, 65]",0.0,6.072553045859,0.0,2121
C102,18,Male,Married,Metro,High School,Employed,Comprehensive,1,2,4,150572,0,2,1,Email,Cash,1,22,2,,,,2020-10-10,13,Hatchback,8661,0.0,,0.0,0.0,0.0,1207
C103,42,Female,Single,Metro,Bachelor's,Employed,Comprehensive,3,1,3,367512,2,4,0,Phone,Credit Card,4,23,2,2021-05-10,,,2022-09-22,0,Hatchback,11816,0.0,"(35, 45]",0.0,2.724161533196441,0.0,495
C104,24,Female,Married,Metro,Bachelor's,Employed,Own Damage,7,2,2,339741,3,2,2,Email,Credit Card,8,3,4,,,,2023-07-10,2,SUV,13276,0.0,"(18, 25]",0.0,0.0,0.0,204
C105,26,Female,Married,Urban,Bachelor's,Unemployed,Comprehensive,1,1,1,454801,2,1,1,In-Person,Cheque,2,11,8,2018-09-05,2019-09-05,2018-09-06,2019-04-22,2,Luxury,40434,1.0,"(25, 35]",365.0,5.401779603011636,1972.0,1744
C106,41,Female,Married,Urban,Bachelor's,Employed,Comprehensive,1,0,2,296627,0,4,2,In-Person,Cash,4,18,5,,,2017-08-04,2017-04-29,10,Sedan,19193,0.0,"(35, 45]",0.0,0.0,2370.0,2467
C107,18,Female,Single,Urban,High School,Employed,Comprehensive,7,5,3,435642,1,2,2,Email,Cash,6,16,6,2020-10-03,,2022-06-11,2022-11-29,0,Luxury,46859,0.0,,0.0,3.323750855578371,598.0,427
C108,61,Male,Single,Rural,Master's,Unemployed,Comprehensive,3,2,3,11791,1,2,0,Email,Credit Card,3,25,3,,,2023-09-12,2023-12-13,8,Luxury,46966,0.0,"(55, 65]",0.0,0.0,140.0,48
C109,25,Female,Single,Rural,Bachelor's,Employed,Comprehensive,6,2,3,165425,1,2,2,Phone,Cash,4,1,2,2018-07-07,,2023-12-09,2023-09-06,2,Sedan,6136,0.0,"(18, 25]",0.0,5.566050650239562,52.0,146
C110,41,Female,Single,Urban,Bachelor's,Employed,Comprehensive,7,2,2,496633,2,3,0,Email,Online,2,21,4,2017-01-08,,2021-12-04,2018-03-17,0,SUV,17738,0.0,"(35, 45]",0.0,7.058179329226557,787.0,2145
C111,28,Male,Married,Urban,Bachelor's,Employed,Third Party,1,0,1,293715,2,3,2,Phone,Cheque,5,20,5,2018-04-09,2019-04-09,,2019-02-10,7,Hatchback,8387,1.0,"(25, 35]",365.0,5.809719370294319,0.0,1815
C112,68,Female,Single,Rural,Bachelor's,Employed,Comprehensive,4,4,1,204181,1,1,1,In-Person,Cheque,7,8,6,2020-06-02,,,2023-10-29,2,Hatchback,17767,0.0,"(65, 100]",0.0,3.6605065023956196,0.0,93
C113,34,Male,Married,Urban,Bachelor's,Employed,Comprehensive,3,5,2,60952,0,1,0,Email,Cash,3,23,2,,,,2022-12-05,3,Hatchback,10081,0.0,"(25, 35]",0.0,0.0,0.0,421
C114,25,Female,Single,Metro,Bachelor's,Employed,Third Party,9,5,0,16000,3,4,2,Phone,Cash,6,27,6,,,2000-01-01,2023-12-07,0,Hatchback,19175,1.0,"(18, 25]",0.0,0.0,8795.0,54
C115,52,Female,Single,Urban,Bachelor's,Employed,Comprehensive,8,5,4,425368,3,3,2,In-Person,Cash,4,22,2,,,,2016-08-27,5,Luxury,15976,0.0,"(45, 55]",0.0,0.0,0.0,2712
